,Unnamed: 0,Unnamed: 0.1,名前,番号,old_charid,bosslevel,初投票回,charid
0,0,13,アリス・マーガトロイド,5.0,13,3,1,8
1,1,2,ルーミア,6.0,2,1,1,13
2,2,3,大妖精,6.0,3,2,1,59
3,3,4,チルノ,6.0,4,2,1,3
4,4,5,紅美鈴,6.0,5,3,1,10
5,5,6,小悪魔,6.0,6,4,1,37
6,6,7,パチュリー・ノーレッジ,6.0,7,4,1,4
7,7,8,十六夜咲夜,6.0,8,5,1,0
8,8,9,レミリア・スカーレット,6.0,9,6,1,7
9,9,10,フランドール・スカーレット,6.0,10,7,1,6
10,10,11,レティ・ホワイトロック,7.0,11,1,1,19
11,11,12,橙,7.0,12,2,1,5
12,12,14,リリーホワイト,7.0,14,4,2,31
13,13,15,ルナサ・プリズムリバー,7.0,15,4,2,28
14,14,16,メルラン・プリズムリバー,7.0,16,4,2,33
15,15,17,リリカ・プリズムリバー,7.0,17,4,2,32
16,16,18,魂魄妖夢,7.0,18,5,2,26
17,17,19,西行寺幽々子,7.0,19,6,2,29
18,18,20,八雲藍,7.0,20,7,2,27
19,19,21,八雲紫,7.0,21,8,2,30
20,20,22,リグル・ナイトバグ,8.0,22,1,2,55
21,21,23,ミスティア・ローレライ,8.0,23,2,2,54
22,22,24,上白沢慧音,8.0,24,3,2,49
23,23,25,因幡てゐ,8.0,25,5,2,53
24,24,26,鈴仙・優曇華院・イナバ,8.0,26,5,2,48
25,25,27,八意永琳,8.0,27,6,2,51
26,26,28,蓬莱山輝夜,8.0,28,7,2,52
27,27,29,藤原妹紅,8.0,29,8,2,50
28,28,31,射命丸文,9.0,31,7,4,73
29,29,32,メディスン・メランコリー,9.0,32,4,4,78
30,30,34,小野塚小町,9.0,34,8,4,76
31,31,35,四季映姫・ヤマザナドゥ,9.0,35,9,4,77
32,32,36,秋静葉,10.0,36,1,5,99
33,33,37,秋穣子,10.0,37,1,5,100
34,34,38,鍵山雛,10.0,38,2,5,94
35,35,39,河城にとり,10.0,39,3,5,95
36,36,40,犬走椛,10.0,40,4,5,96
37,37,41,東風谷早苗,10.0,41,5,5,92
38,38,42,八坂神奈子,10.0,42,6,5,97
39,39,43,洩矢諏訪子,10.0,43,7,5,93
40,40,46,キスメ,11.0,46,1,5,123
41,41,47,黒谷ヤマメ,11.0,47,1,5,122
42,42,48,水橋パルスィ,11.0,48,2,5,119
43,43,49,星熊勇儀,11.0,49,3,5,120
44,44,50,古明地さとり,11.0,50,4,5,113
45,45,51,火焔猫燐,11.0,51,5,5,117
46,46,52,霊烏路空,11.0,52,6,5,116
47,47,53,古明地こいし,11.0,53,7,5,118
48,48,54,ナズーリン,12.0,54,1,6,136
49,49,55,多々良小傘,12.0,55,2,6,135
50,50,56,雲居一輪,12.0,56,3,6,141
51,51,57,雲山,12.0,57,3,6,142
52,52,58,村紗水蜜,12.0,58,4,6,139
53,53,59,寅丸星,12.0,59,5,6,137
54,54,60,聖白蓮,12.0,60,6,6,134
55,55,61,封獣ぬえ,12.0,61,7,6,138
56,56,63,幽谷響子,13.0,63,2,8,161
57,57,64,宮古芳香,13.0,64,3,8,160
58,58,65,霍青娥,13.0,65,4,8,158
59,59,66,蘇我屠自古,13.0,66,5,8,163
60,60,67,物部布都,13.0,67,5,8,157
61,61,68,豊聡耳神子,13.0,68,6,8,159
62,62,69,二ッ岩マミゾウ,13.0,69,7,8,162
63,63,71,わかさぎ姫,14.0,71,1,9,176
64,64,72,赤蛮奇,14.0,72,2,9,173
65,65,73,今泉影狼,14.0,73,3,9,171
66,66,74,九十九弁々,14.0,74,4,9,177
67,67,75,九十九八橋,14.0,75,4,9,178
68,68,76,鬼人正邪,14.0,76,6,9,174
69,69,77,少名針妙丸,14.0,77,6,9,170
70,70,78,堀川雷鼓,14.0,78,7,9,175
71,71,80,清蘭,15.0,80,2,11,208
72,72,81,鈴瑚,15.0,81,2,11,207
73,73,82,ドレミー・スイート,15.0,82,3,11,206
74,74,83,稀神サグメ,15.0,83,4,11,202
75,75,84,クラウンピース,15.0,84,5,11,203
76,76,85,純狐,15.0,85,6,11,204
77,77,86,ヘカーティア・ラピスラズリ,15.0,86,7,11,205
78,78,99,エタニティラルバ,16.0,99,1,13,234
79,79,100,坂田ネムノ,16.0,100,2,13,235
80,80,101,高麗野あうん,16.0,101,3,13,229
81,81,102,矢田寺成美,16.0,102,4,13,231
82,82,103,爾子田里乃,16.0,103,4,13,233
83,83,104,丁礼田舞,16.0,104,5,13,232
84,84,105,摩多羅隠岐奈,16.0,105,6,13,228
85,85,108,戎瓔花,16.0,108,1,13,256
86,86,109,牛崎潤美,17.0,109,2,15,255
87,87,110,庭渡久侘歌,17.0,110,3,15,250
88,88,111,吉弔八千慧,17.0,111,4,15,249
89,89,112,杖刀偶磨弓,17.0,112,5,15,251
90,90,113,埴安神袿姫,17.0,113,6,15,248
91,91,114,驪駒早鬼,17.0,114,7,15,252
92,92,116,豪徳寺ミケ,18.0,116,1,16,264
93,93,117,山城たかね,18.0,117,2,16,266
94,94,118,駒草山如,18.0,118,3,16,267
95,95,119,玉造魅須丸,18.0,119,4,16,265
96,96,120,飯綱丸龍,18.0,120,5,16,262
97,97,121,菅牧典,18.0,121,5,16,261
98,98,122,天弓千亦,18.0,122,6,16,260
99,99,123,姫虫百々世,18.0,123,7,16,263
