,十六夜 咲夜,霧雨 魔理沙,博麗 霊夢,チルノ,パチュリー・ノーレッジ,橙,フランドール・スカーレット,レミリア・スカーレット,アリス・マーガトロイド,魅魔,紅 美鈴,小兎姫,めい＆まい,ルーミア,幽香,エーリッヒ,エレン・ふわふわ頭・オーレウス,朝倉 理香子,ビビット(VIVIT),レティ・ホワイトロック,玄爺,里香,マイ,岡崎 夢美,幻月,プリズムリバー三姉妹,魂魄 妖夢,八雲 藍,ルナサ・プリズムリバー,西行寺 幽々子,八雲 紫,リリーホワイト,リリカ・プリズムリバー,メルラン・プリズムリバー,その他（中国）,北白河 ちゆり,ゲイツ,小悪魔,ユキ＆マイ,その他（毛玉）,ＶＩＶＩＴ,岡崎　夢美,エレン,ミューズ,カナ・アナベラル,神綺,ルイズ,ビビット（オリジナル）,鈴仙・優曇華院・イナバ,上白沢 慧音,藤原 妹紅,八意 永琳,蓬莱山 輝夜,因幡 てゐ,ミスティア・ローレライ,リグル・ナイトバグ,森近 霖之助,蓮子,名無しの本読み妖怪,大妖精,ユキ,メリー,VIVIT,エリー,毛玉,上海人形,夢月,くるみ,明羅,マリー,サラ,夢子,その他1票項目,射命丸 文,伊吹 萃香,風見 幽香,小野塚 小町,四季映姫・ヤマザナドゥ,メディスン・メランコリー,宇佐見蓮子,マエリベリー・ハーン,魂魄 妖忌,レイラ・プリズムリバー,スターサファイア,ルナチャイルド,ザコ妖精,サニーミルク,サリエル,化け化け,るーこと,大ガマ,オレンジ,東風谷 早苗,洩矢 諏訪子,鍵山 雛,河城 にとり,犬走 椛,八坂 神奈子,稗田 阿求,秋 静葉,秋 穣子,綿月 豊姫,レイセン,ツチノコ,カラス,綿月 依姫,月の兎,永遠亭の妖怪兎,前鬼・後鬼,月の都の門番,コンガラ,シンギョク,幽霊,古明地 さとり,永江 衣玖,比那名居 天子,霊烏路 空,火焔猫 燐,古明地 こいし,水橋 パルスィ,星熊 勇儀,アリスの人形（上海、蓬莱、大江戸他）,黒谷 ヤマメ,キスメ,妖精（メイド妖精・ひまわり妖精他）,幽霊（怨霊、化け化け含む）,ユウゲンマガン,カラス（地獄鴉、紫・文の使い魔他）,酒虫,岩笠,エリス,月の兎（玉兎）,木花咲耶姫,キクリ,聖 白蓮,多々良 小傘,ナズーリン,寅丸 星,封獣 ぬえ,村紗 水蜜,宇佐見 蓮子,雲居 一輪,雲山,核熱造神ヒソウテンソク,大ナマズ,UFO（赤・青・緑、その他）,レイラ･プリズムリバー,ミミちゃん,毘沙門天,命蓮,大天狗,水江浦島子,姫海棠 はたて,茨木 華扇,河童,天狗（大天狗他）,化け狸,物部 布都,霍 青娥,豊聡耳 神子,宮古 芳香,幽谷 響子,二ッ岩 マミゾウ,蘇我 屠自古,神降ろしの神霊（天照、伊豆能売他）,妖怪狐,雷獣,大鷲（久米、竿打）,子龍,秦 こころ,少名 針妙丸,今泉 影狼,本居 小鈴,赤蛮奇,鬼人 正邪,堀川 雷鼓,わかさぎ姫,九十九 弁々,九十九 八橋,ホフゴブリン,チュパカブラ,河童（山童）,邪龍,仙台四郎（福の神）,運松,座敷童,煙々羅,野鉄砲（マミ）,沓頬,宇佐見 菫子,易者,万歳楽,八尺さま,お菊さん,狐の子,トカゲ,ウワバミ,ネッシー号,人面犬,小鈴の両親,彭祖,緑の小人,稀神 サグメ,クラウンピース,純狐,ヘカーティア・ラピスラズリ,ドレミー・スイート,鈴瑚,清蘭,蓬莱人形ジャケット・レーベルイラストの娘,嫦娥,河童（山童含む）,狐（妖怪狐、狐の子他）,華扇の動物（久米、竿打、雷獣、彭祖、人面犬他）,龍（子龍、邪龍他）,兎（玉兎、永遠亭の妖怪兎他）,都市伝説の怪異（お菊さん、八尺さま他）,天狗（香霖堂の天狗、大天狗他）,幽霊（怨霊、神霊、化け化け含む）,狸（化け狸、野鉄砲他）,抗鬱薬おじさん,蓬莱人形ジャケットイラストの娘,なめえもん,蓬莱人形レーベルイラストの娘,ケセランパサラン,塩屋敷の旦那,ヤマネ,依神紫苑 ,摩多羅隠岐奈,高麗野あうん,依神女苑,矢田寺成美,丁礼田舞,爾子田里乃,エタニティラルバ,坂田ネムノ,アリスの人形（上海、蓬莱、大江戸 他）,妖精（メイド妖精・ひまわり妖精 他）,旧作名無し中ボス,龍（子龍、邪龍 他）,都市伝説の怪異（お菊さん、八尺さま 他）,兎（玉兎、永遠亭の妖怪兎 他）,天狗（香霖堂の天狗、大天狗 他）,華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）,里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,カラス（地獄鴉、紫・文の使い魔 他）,神降ろしの神霊（天照、伊豆能売 他）,依神紫苑,埴安神 袿姫,吉弔 八千慧,庭渡 久侘歌,杖刀偶 磨弓,驪駒 早鬼,奥野田 美宵,カワウソ霊,牛崎 潤美,戎 瓔花,影華扇（断善修悪の怪腕 - 茨木童子の腕）,オオカミ霊,オオワシ霊,天弓 千亦,菅牧 典,飯綱丸 龍,姫虫 百々世,豪徳寺 ミケ,玉造 魅須丸,山城 たかね,駒草 山如,饕餮尤魔,宮出口瑞霊
1,95,95,62,51,46,43,32,28,27,14,9,7,5,5,5,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,564,532,293,65,195,142,93,162,184,19,164,1,2,36,7,0,0,1,0,26,3,0,0,0,1,260,254,236,161,141,109,36,27,17,11,9,8,7,6,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,585,785,426,53,104,55,96,174,179,13,124,3,0,51,9,0,0,1,0,25,0,0,0,0,0,0,490,198,51,406,173,32,6,6,0,10,1,14,0,0,0,2,1,0,0,5,0,0,311,204,109,63,49,28,23,11,6,5,5,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1165,1301,1245,330,743,157,465,688,919,44,447,9,0,201,0,0,0,6,0,66,3,5,4,12,4,0,877,375,266,1092,895,141,42,58,0,21,0,148,0,0,0,0,6,0,9,91,1,0,891,616,367,387,228,155,296,100,139,0,18,43,0,0,0,3,19,108,3,1,1,0,0,9,0,886,422,277,237,225,93,90,25,18,14,11,7,6,6,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3154,3867,3927,2075,2474,920,2497,3083,2574,525,1521,21,0,661,0,0,0,22,0,452,17,5,34,99,17,0,2169,2119,808,2973,2887,231,252,215,0,70,0,455,0,0,0,0,6,0,35,320,12,0,1489,1830,2544,1298,1342,744,815,410,659,0,48,238,28,0,0,41,75,190,8,12,14,0,7,32,0,3774,1454,1517,855,1586,306,504,190,58,35,85,222,19,169,14,7,9,12,9,2135,1987,1092,934,848,773,413,120,97,35,28,25,15,15,13,12,6,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5433,5380,5739,2604,3450,1399,3654,4945,4065,820,2415,37,0,1362,0,0,0,19,0,790,25,21,57,339,99,0,3277,2425,1090,3973,4471,290,343,309,0,115,0,823,0,0,0,0,39,0,105,451,18,0,2086,2214,4162,1581,1775,932,1329,725,1225,0,146,592,53,0,0,90,76,0,24,31,43,0,7,52,0,3738,2444,4005,1728,2200,500,801,279,107,50,123,370,0,227,13,0,13,5,17,5315,2691,1945,2116,1816,1659,649,706,712,139,64,34,0,256,0,16,0,12,20,9,0,3591,2826,2603,1917,1499,1446,1375,1189,399,386,292,18,18,12,12,11,9,7,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6763,6766,7731,3243,4259,1684,5365,6747,6238,1011,3480,65,0,2120,0,0,0,52,0,1082,30,32,122,643,174,0,4510,2721,1365,5274,5269,455,480,446,0,150,0,1031,0,0,0,0,44,0,142,722,23,0,2643,2729,5441,1765,2542,1076,1807,962,1647,0,354,1204,102,0,0,133,114,0,55,59,78,0,21,119,0,4076,2835,5764,1988,2889,856,0,511,157,0,195,562,0,368,83,0,39,8,29,7221,4120,2742,3140,2261,2462,859,1480,1523,184,146,81,0,609,0,25,0,11,37,12,0,5471,2813,3557,4357,1523,3283,2431,1328,458,629,354,65,12,27,17,44,17,21,7,9,44,4335,3306,3107,2158,1783,1765,1320,784,324,302,217,95,72,27,26,18,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7246,6750,8175,3196,4298,1545,5961,6920,6373,953,3450,72,0,2373,0,0,0,51,0,1063,25,33,162,816,246,0,5201,3008,1246,5293,5180,527,428,442,0,121,0,1124,0,0,0,0,71,0,160,685,36,0,3150,2718,5349,1680,2578,1239,1832,856,1558,0,480,1613,130,0,0,133,129,0,70,74,79,0,34,136,0,5620,2775,7192,1939,2486,971,0,725,130,0,455,962,0,533,103,0,26,9,35,6466,3776,3107,4090,2603,2172,839,1576,1615,274,168,62,0,610,0,22,0,11,57,27,0,6113,2738,3947,4736,2021,4827,2580,1256,438,996,410,78,9,39,21,30,23,43,14,17,21,4001,2561,2886,2399,2314,1556,1639,1000,311,175,96,77,69,33,16,18,0,5,1926,923,35,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8635,8028,9583,3604,4777,1637,7824,8205,9265,893,4114,67,0,2805,0,0,0,65,0,938,30,49,143,1049,342,0,7032,3301,1250,6093,5797,572,397,427,0,130,0,1451,0,0,0,0,97,0,198,836,32,0,3302,3046,6129,1725,3009,1198,2157,956,1580,0,508,2149,99,0,0,148,144,0,117,138,83,0,29,171,0,7016,2795,7289,2234,3039,1049,0,871,137,0,505,905,0,535,121,0,41,9,34,6880,3690,3282,4162,3823,2228,1294,1684,1647,320,162,49,0,659,0,22,0,14,83,23,0,6925,3275,4758,4950,2257,5852,2691,1429,460,1147,430,121,15,41,24,20,46,52,12,8,29,3759,2906,2426,2027,2743,1394,1962,812,175,139,74,49,68,48,11,19,0,8,1838,3521,22,14,6,4479,2344,2261,1509,1440,1298,944,53,18,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5848,6495,7314,2006,3039,944,5488,5089,5383,571,2445,69,0,1973,0,0,0,36,0,564,29,67,103,731,220,0,4896,2177,771,3718,3523,365,294,246,0,95,0,740,0,0,0,0,64,0,147,563,31,0,2346,1608,3934,1133,2080,841,1283,603,891,0,288,1078,81,0,0,101,75,0,94,75,34,0,37,125,0,4638,1719,3885,1204,2030,723,0,929,72,0,384,463,0,373,98,0,25,7,33,4573,2206,1705,2301,2543,1205,956,899,881,279,124,25,0,476,0,21,0,15,65,23,0,4883,1864,3468,2902,1634,6063,2216,922,233,691,243,59,15,45,8,18,26,50,15,6,22,2688,2146,1375,1220,1887,956,1889,757,140,73,38,34,53,28,4,18,0,8,1126,2043,0,6,6,1957,1396,1936,636,844,1122,647,9,10,18,7,7,3633,1964,1659,1162,1153,1107,1060,702,430,269,78,31,21,14,9,9,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
