,初出作品,キャラ集計ポイント比率,音楽集計ポイント比率,名前,回,回n,名前n
0,CD,0.0,,,,,
1,ダブルスポイラー,0.0,0.0,ダブルスポイラー,1.0,0.05263157894736842,0.02631578947368421
2,儚月抄,0.0,,,,,
3,剛欲異聞,0.0,0.0,東方剛欲異聞,1.0,0.05263157894736842,0.15789473684210525
4,地霊殿,0.0,0.0,東方地霊殿,1.0,0.05263157894736842,0.18421052631578946
5,天空璋,0.0,0.0,東方天空璋,1.0,0.05263157894736842,0.23684210526315788
6,妖々夢,0.082720588235294,0.1342182890855454,東方妖々夢,1.0,0.05263157894736842,0.2631578947368421
7,妖精大戦争,0.0,0.0,妖精大戦争,1.0,0.05263157894736842,0.10526315789473684
8,封魔録,0.1746323529411764,0.0117994100294984,東方封魔録,1.0,0.05263157894736842,0.2894736842105263
9,幺樂団の歴史,0.0,,,,,
10,幻想郷,0.0,0.0176991150442476,東方幻想郷,1.0,0.05263157894736842,0.3157894736842105
11,心綺楼,0.0,0.0,東方心綺楼,1.0,0.05263157894736842,0.3684210526315789
12,怪綺談,0.0496323529411764,0.0516224188790556,東方怪綺談,1.0,0.05263157894736842,0.39473684210526316
13,憑依華,0.0,0.0,東方憑依華,1.0,0.05263157894736842,0.42105263157894735
14,星蓮船,0.0,0.0,東方星蓮船,1.0,0.05263157894736842,0.47368421052631576
15,永夜抄,0.0,0.0,東方永夜抄,1.0,0.05263157894736842,0.5
16,深秘録,0.0,0.0,東方深秘録,1.0,0.05263157894736842,0.5263157894736842
17,神霊廟,0.0,0.0,東方神霊廟,1.0,0.05263157894736842,0.5526315789473685
18,紅魔郷,0.4889705882352939,0.5737463126843652,東方紅魔郷,1.0,0.05263157894736842,0.5789473684210527
19,紺珠伝,0.0,0.0,東方紺珠伝,1.0,0.05263157894736842,0.6052631578947368
20,緋想天,0.0,0.0,東方緋想天,1.0,0.05263157894736842,0.631578947368421
21,花映塚,0.0,0.0,東方花映塚,1.0,0.05263157894736842,0.6578947368421053
22,茨歌仙,0.0,,,,,
23,萃夢想,0.0,0.0,東方萃夢想,1.0,0.05263157894736842,0.6842105263157895
24,虹龍洞,0.0,0.0,東方虹龍洞,1.0,0.05263157894736842,0.7105263157894737
25,輝針城,0.0,0.0,東方輝針城,1.0,0.05263157894736842,0.7368421052631579
26,鈴奈庵,0.0,,,,,
27,靈異伝,0.1139705882352941,0.0206489675516223,東方靈異伝,1.0,0.05263157894736842,0.7631578947368421
28,風神録,0.0,0.0,東方風神録,1.0,0.05263157894736842,0.8157894736842105
29,香霖堂,0.0,,,,,
30,鬼形獣,0.0,0.0,東方鬼形獣,1.0,0.05263157894736842,0.8421052631578947
31,Cradle,,0.0,Cradle,1.0,0.05263157894736842,0.0
32,トルテルマジック,,0.0073746312684365,トルテルマジック,1.0,0.05263157894736842,0.05263157894736842
33,メニュー,,0.0014749262536873,メニュー,1.0,0.05263157894736842,0.07894736842105263
34,弾幕アマノジャク,,0.0,弾幕アマノジャク,1.0,0.05263157894736842,0.13157894736842105
35,夢時空,,0.0044247787610619,東方夢時空,1.0,0.05263157894736842,0.21052631578947367
36,幻想麻雀,,0.0,東方幻想麻雀,1.0,0.05263157894736842,0.34210526315789475
37,文花帖,,0.0,東方文花帖,1.0,0.05263157894736842,0.4473684210526316
38,非想天則,,0.1563421828908552,東方非想天則,1.0,0.05263157894736842,0.7894736842105263
39,神魔討綺伝 ,,0.0,神魔討綺伝 ,1.0,0.05263157894736842,0.868421052631579
