,名前,作品ポイント比率,キャラ集計ポイント比率,回,回n,名前n
0,紅魔郷,0.1118469037732442,0.1520678718185081,12.0,0.0,0.5806451612903226
1,永夜抄,0.1002130348438346,0.0755152102245203,12.0,0.0,0.4838709677419355
2,妖々夢,0.0898718180176927,0.0898645375997995,12.0,0.0,0.1935483870967742
3,風神録,0.0792200758259613,0.0720403731075102,12.0,0.0,0.9032258064516129
4,地霊殿,0.0683083589095504,0.1002671749761726,12.0,0.0,0.12903225806451613
5,紺珠伝,0.0583065535295179,0.0584878833804661,12.0,0.0,0.6129032258064516
6,鈴奈庵,0.0435674309442137,0.0053997468868646,12.0,0.0,0.8387096774193549
7,輝針城,0.0400938797616898,0.0428261175257406,12.0,0.0,0.8064516129032258
8,星蓮船,0.037674670518144,0.0532756277049509,12.0,0.0,0.45161290322580644
9,非想天則,0.0334717458024914,,,,
10,深秘録,0.030236504784257,0.0060434667124978,12.0,0.0,0.5161290322580645
11,神霊廟,0.0287127640368297,0.042391762886114404,12.0,0.0,0.5483870967741935
12,茨歌仙,0.0270445928868026,0.0098714122775494,12.0,0.0,0.7096774193548387
13,花映塚,0.0248131431666365,0.0435479586894362,12.0,0.0,0.6774193548387096
14,緋想天,0.0191659144249864,0.0252081933659359,12.0,0.0,0.6451612903225806
15,弾幕アマノジャク,0.0175988445567792,,,,
16,儚月抄,0.0151507492327134,0.004537287314657,12.0,0.0,0.06451612903225806
17,心綺楼,0.0144141541794547,0.0176272987203724,12.0,0.0,0.3548387096774194
18,三月精,0.0141469579346452,,,,
19,求聞史紀 / 求聞口授,0.0138869832099656,,,,
20,香霖堂,0.0135547932839862,0.0038998171960689,12.0,0.0,0.9354838709677419
21,大空魔術,0.0117060841307095,,,,
22,文花帖,0.0106445206716013,,,,
23,ダブルスポイラー,0.0102256725040621,0.0047779010358889,12.0,0.0,0.03225806451612903
24,蓬莱人形,0.0092507672865138,,,,
25,妖精大戦争,0.0092218812059938,0.0053372498164147,12.0,0.0,0.22580645161290322
26,幻想郷,0.0078786784618162,0.0147711826008155,12.0,0.0,0.3225806451612903
27,怪綺談,0.0073659505325871,0.0244801024951955,12.0,0.0,0.3870967741935484
28,萃夢想,0.0072865138111572,0.0086120963079855,12.0,0.0,0.7419354838709677
29,蓮台野夜行,0.0061743997111391,,,,
30,夢時空,0.0056833363423,,,,
31,卯酉東海道,0.0055677920202202,,,,
32,The Grimoire of Marisa,0.0044267918396822,,,,
33,夢違科学世紀,0.0041740386351326,,,,
34,靈異伝,0.0040584943130528,0.0482071152914707,12.0,0.0,0.8709677419354839
35,伊弉諾物質,0.0037696335078534,,,,
36,鳥船遺跡,0.0032280194981043,,,,
37,文花帖（書籍）,0.0029391586929048,,,,
38,幺樂団の歴史,0.0018920382740566,0.0043466712497851,12.0,0.0,0.2903225806451613
39,封魔録,0.0018053800324968,0.0342765182882052,12.0,0.0,0.25806451612903225
40,未知の花　魅知の旅,0.0014009749052175,,,,
41,燕石博物誌,0.0,,,,
42,旧約酒場,0.0,,,,
43,天空璋,0.0,0.0,12.0,0.0,0.16129032258064516
44,憑依華,0.0,0.0,12.0,0.0,0.41935483870967744
45,文果真報,0.0,,,,
46,秘封ナイトメアダイアリー,0.0,,,,
47,鬼形獣,0.0,0.0,12.0,0.0,0.967741935483871
48,酔蝶華,0.0,,,,
49,智霊奇伝 反則探偵さとり,0.0,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0,,,,
51,剛欲異聞,0.0,0.0,12.0,0.0,0.0967741935483871
52,Project人妖名鑑 宵闇編,0.0,,,,
53,虹龍洞,0.0,0.0,12.0,0.0,0.7741935483870968
54,バレットフィリア達の闇市場,0.0,,,,
