番号,7.5,9.5,10.5,12.3,12.5,12.8,13.5,14.3,14.5,15.5,16.5,17.5,18.5
年,2004,2005,2008,2009,2010,2010,2013,2014,2015,2017,2018,2021,2022
人気投票,3,5,5,6,7,7,9,10,11,13,14,16,18
作品,萃夢想,文花帖,緋想天,非想天則,ダブルスポイラー,妖精大戦争,心綺楼,天邪鬼,深秘録,憑依華,秘封ナイトメアダイアリー,剛欲異聞,バレットフィリア達の闇市場
,博麗霊夢,射命丸文,博麗 霊夢,東風谷 早苗,秋静葉,チルノ,博麗 霊夢,鬼人 正邪,博麗霊夢,博麗霊夢,宇佐見 菫子,饕餮 尤魔,霧雨 魔理沙
,霧雨魔理沙,ルーミア,霧雨 魔理沙,チルノ,鍵山雛,リリーホワイト,霧雨 魔理沙,チルノ,霧雨魔理沙,霧雨魔理沙,博麗 霊夢,博麗 霊夢,豪徳寺ミケ
,十六夜咲夜,リグル・ナイトバグ,十六夜 咲夜,紅 美鈴,キスメ,大妖精,雲居 一輪,わかさぎ姫,雲居一輪,雲居一輪,清蘭,霧雨 魔理沙,チルノ
,アリス・マーガトロイド,チルノ,アリス・マーガトロイド,霊烏路 空,多々良小傘,サニーミルク,聖 白蓮,赤蛮奇,聖白蓮,聖白蓮,鈴瑚,八坂神奈子,戎瓔花
,パチュリー・ノーレッジ,アリス・マーガトロイド,パチュリー・ノーレッジ,洩矢 諏訪子,犬走椛,ルナチャイルド,物部 布都,上白沢慧音,物部布都,物部布都,エタニティラルバ,村紗水蜜,東風谷早苗
,魂魄妖夢,鈴仙・優曇華院・イナバ,魂魄 妖夢,博麗 霊夢,村紗水蜜,スターサファイア,豊聡 耳神子,霍青娥,豊聡耳神子,豊聡耳神子,霧雨 魔理沙,依神 女苑,菅牧典
,レミリア・スカーレット,紅美鈴,レミリア・スカーレット,霧雨 魔理沙,伊吹萃香,霧雨 魔理沙,河城 にとり,九十九八橋,河城にとり,河城にとり,矢田寺成美,依神 紫苑,伊吹萃香
,西行寺幽々子,橙,西行寺 幽々子,アリス・マーガトロイド,ナズーリン,,古明地 こいし,射命丸文,古明地こいし,古明地こいし,坂田ネムノ,フランドール・スカーレット,天弓千亦
,八雲紫,十六夜咲夜,八雲 紫,パチュリー・ノーレッジ,霊烏路空,,二ッ岩 マミゾウ,十六夜咲夜,二ッ岩マミゾウ,二ッ岩マミゾウ,高麗野あうん,多々良小傘,秋穣子
,伊吹萃香,八雲藍,伊吹 萃香,,古明地こいし,,秦 こころ,博麗霊夢,秦こころ,秦こころ,クラウンピース,星熊勇儀,わかさぎ姫
,紅美鈴,八意永琳,鈴仙・優曇華院・イナバ,,永江衣玖,,,洩矢諏訪子,茨木華扇,茨木華扇,稀神サグメ,黒谷ヤマメ,庭渡久侘歌
,,小野塚小町,射命丸 文,,洩矢諏訪子,,,豊聡耳神子,藤原妹紅,藤原妹紅,丁礼田舞,霊烏路空,十六夜咲夜
,,フランドール・スカーレット,小野塚 小町,,封獣ぬえ,,,藤原妹紅,少名針妙丸,少名針妙丸,爾子田里乃,庭渡久侘歌,飯綱丸龍
