,名前,初出作品,初出番号,初出年,CD(秘封),書籍のみ,整数boss,整数自機,非整数自機,非整数boss,整数自機回数,非整数自機回数,oldcharid
0,博麗 霊夢,靈異伝,1.0,1996,0,0,0,1.0,1.0,1.0,30.0,,0
1,霧雨 魔理沙,封魔録,2.0,1997,0,0,0,1.0,1.0,1.0,30.0,,1
2,ルーミア,紅魔郷,6.0,2002,0,0,1,,,,,,2
3,大妖精,紅魔郷,6.0,2002,0,0,2,,,,,,3
4,チルノ,紅魔郷,6.0,2002,0,0,2,,1.0,,,,4
5,紅 美鈴,紅魔郷,6.0,2002,0,0,3,,,,,,5
6,小悪魔,紅魔郷,6.0,2002,0,0,4,,,,,,6
7,パチュリー・ノーレッジ,紅魔郷,6.0,2002,0,0,4,,,,,,7
8,十六夜 咲夜,紅魔郷,6.0,2002,0,0,5,,,,,,8
9,レミリア・スカーレット,紅魔郷,6.0,2002,0,0,6,,,,,,9
10,フランドール・スカーレット,紅魔郷,6.0,2002,0,0,7,,,,,,10
11,レティ・ホワイトロック,妖々夢,7.0,2003,0,0,1,,,,,,11
12,橙,妖々夢,7.0,2003,0,0,2,,,,,,12
13,アリス・マーガトロイド,怪綺談,5.0,1998,0,0,3,,,,,,13
14,リリーホワイト,妖々夢,7.0,2003,0,0,4,,,,,,14
15,ルナサ・プリズムリバー,妖々夢,7.0,2003,0,0,4,,,,,,15
16,メルラン・プリズムリバー,妖々夢,7.0,2003,0,0,4,,,,,,16
17,リリカ・プリズムリバー,妖々夢,7.0,2003,0,0,4,,,,,,17
18,魂魄 妖夢,妖々夢,7.0,2003,0,0,5,,,,,,18
19,西行寺 幽々子,妖々夢,7.0,2003,0,0,6,,,,,,19
20,八雲 藍,妖々夢,7.0,2003,0,0,7,,,,,,20
21,八雲 紫,妖々夢,7.0,2003,0,0,8,,,,,,21
22,リグル・ナイトバグ,永夜抄,8.0,2004,0,0,1,,,,,,22
23,ミスティア・ローレライ,永夜抄,8.0,2004,0,0,2,,,,,,23
24,上白沢 慧音,永夜抄,8.0,2004,0,0,3,,,,,,24
25,因幡 てゐ,永夜抄,8.0,2004,0,0,5,,,,,,25
26,鈴仙・優曇華院・イナバ,永夜抄,8.0,2004,0,0,5,,,,,,26
27,八意 永琳,永夜抄,8.0,2004,0,0,6,,,,,,27
28,蓬莱山 輝夜,永夜抄,8.0,2004,0,0,7,,,,,,28
29,藤原 妹紅,永夜抄,8.0,2004,0,0,8,,,,,,29
30,伊吹 萃香,萃夢想,7.5,2004,0,0,0,,,,,,30
31,射命丸 文,花映塚,9.0,2005,0,0,7,1.0,1.0,,,,31
32,メディスン・メランコリー,花映塚,9.0,2005,0,0,4,1.0,,,,,32
33,風見 幽香,幻想郷,4.0,1998,0,0,8,1.0,,,,,33
34,小野塚 小町,花映塚,9.0,2005,0,0,8,1.0,,,,,34
35,四季映姫・ヤマザナドゥ,花映塚,9.0,2005,0,0,9,1.0,,,,,35
36,秋 静葉,風神録,10.0,2007,0,0,1,,,,,,36
37,秋 穣子,風神録,10.0,2007,0,0,1,,,,,,37
38,鍵山 雛,風神録,10.0,2007,0,0,2,,,,,,38
39,河城 にとり,風神録,10.0,2007,0,0,3,,,,,,39
40,犬走 椛,風神録,10.0,2007,0,0,4,,,,,,40
41,東風谷 早苗,風神録,10.0,2007,0,0,5,,,,,,41
42,八坂 神奈子,風神録,10.0,2007,0,0,6,,,,,,42
43,洩矢 諏訪子,風神録,10.0,2007,0,0,7,,,,,,43
44,永江 衣玖,緋想天,10.5,2008,0,0,0,,1.0,,,,44
45,比那名居 天子,緋想天,10.5,2008,0,0,0,,1.0,,,,45
46,キスメ,地霊殿,11.0,2008,0,0,1,,,,,,46
47,黒谷 ヤマメ,地霊殿,11.0,2008,0,0,1,,,,,,47
48,水橋 パルスィ,地霊殿,11.0,2008,0,0,2,,,,,,48
49,星熊 勇儀,地霊殿,11.0,2008,0,0,3,,,,,,49
50,古明地 さとり,地霊殿,11.0,2008,0,0,4,,,,,,50
51,火焔猫 燐,地霊殿,11.0,2008,0,0,5,,,,,,51
52,霊烏路 空,地霊殿,11.0,2008,0,0,6,,,,,,52
53,古明地 こいし,地霊殿,11.0,2008,0,0,7,,,,,,53
54,ナズーリン,星蓮船,12.0,2009,0,0,1,,,,,,54
55,多々良 小傘,星蓮船,12.0,2009,0,0,2,,,,,,55
56,雲居 一輪,星蓮船,12.0,2009,0,0,3,,,,,,56
57,雲山,星蓮船,12.0,2009,0,0,3,,,,,,57
58,村紗 水蜜,星蓮船,12.0,2009,0,0,4,,,,,,58
59,寅丸 星,星蓮船,12.0,2009,0,0,5,,,,,,59
60,聖 白蓮,星蓮船,12.0,2009,0,0,6,,,,,,60
61,封獣 ぬえ,星蓮船,12.0,2009,0,0,7,,,,,,61
62,姫海棠 はたて,ダブルスポイラー,12.5,2010,0,0,0,,1.0,,,,62
63,幽谷 響子,神霊廟,13.0,2011,0,0,2,,,,,,63
64,宮古 芳香,神霊廟,13.0,2011,0,0,3,,,,,,64
65,霍 青娥,神霊廟,13.0,2011,0,0,4,,,,,,65
66,蘇我 屠自古,神霊廟,13.0,2011,0,0,5,,,,,,66
67,物部 布都,神霊廟,13.0,2011,0,0,5,,,,,,67
68,豊聡耳 神子,神霊廟,13.0,2011,0,0,6,,,,,,68
69,二ッ岩 マミゾウ,神霊廟,13.0,2011,0,0,7,,,,,,69
70,秦 こころ,心綺楼,13.5,2013,0,0,0,,1.0,,,,70
71,わかさぎ姫,輝針城,14.0,2013,0,0,1,,,,,,71
