番号,年,人気投票,作品
1,1995,1,靈異伝
2,1997,1,封魔録
3,1997,1,夢時空
4,1998,1,幻想郷
5,1998,1,怪綺談
6,2002,1,紅魔郷
7,2003,2,妖々夢
8,2004,2,永夜抄
9,2005,4,花映塚
10,2007,5,風神録
11,2008,5,地霊殿
12,2009,6,星蓮船
13,2011,8,神霊廟
14,2013,9,輝針城
15,2015,11,紺珠伝
16,2017,13,天空璋
17,2019,15,鬼形獣
18,2021,16,虹龍洞
7.5,2004,3,萃夢想
9.5,2005,5,文花帖
10.5,2008,5,緋想天
12.3,2009,6,非想天則
12.5,2010,7,ダブルスポイラー
12.8,2010,7,妖精大戦争
13.5,2013,9,心綺楼
14.3,2014,10,弾幕アマノジャク
14.5,2015,11,深秘録
15.5,2017,13,憑依華
16.5,2018,14,秘封ナイトメアダイアリー
17.5,2021,16,剛欲異聞
18.5,2022,18,バレットフィリア達の闇市場
19,2023,19,獣王園
20,2025,21,錦上京
