,Unnamed: 0,名前,old_charid,Unnamed: 0.1,番号,年,初投票回,作品,charid
0,0,博麗霊夢,0,0,5,2000,1,旧作-西方,2
1,1,博麗霊夢,0,4,6,2002,1,紅魔郷,2
2,2,博麗霊夢,0,8,7,2003,2,妖々夢,2
3,3,博麗霊夢,0,12,8,2004,2,永夜抄,2
4,4,博麗霊夢,0,16,9,2005,4,花映塚,2
5,5,博麗霊夢,0,20,10,2007,5,風神録,2
6,6,博麗霊夢,0,24,11,2008,5,地霊殿,2
7,7,博麗霊夢,0,28,12,2009,6,星蓮船,2
8,8,博麗霊夢,0,32,13,2011,8,神霊廟,2
9,9,博麗霊夢,0,36,14,2013,9,輝針城,2
10,10,博麗霊夢,0,40,15,2015,11,紺珠伝,2
11,11,博麗霊夢,0,44,16,2017,13,天空璋,2
12,12,博麗霊夢,0,48,17,2019,15,鬼形獣,2
13,13,博麗霊夢,0,52,18,2021,16,虹龍洞,2
14,14,霧雨魔理沙,1,1,5,2000,1,旧作-西方,1
15,15,霧雨魔理沙,1,5,6,2002,1,紅魔郷,1
16,16,霧雨魔理沙,1,9,7,2003,2,妖々夢,1
17,17,霧雨魔理沙,1,13,8,2004,2,永夜抄,1
18,18,霧雨魔理沙,1,17,9,2005,4,花映塚,1
19,19,霧雨魔理沙,1,21,10,2007,5,風神録,1
20,20,霧雨魔理沙,1,25,11,2008,5,地霊殿,1
21,21,霧雨魔理沙,1,29,12,2009,6,星蓮船,1
22,22,霧雨魔理沙,1,33,13,2011,8,神霊廟,1
23,23,霧雨魔理沙,1,37,14,2013,9,輝針城,1
24,24,霧雨魔理沙,1,41,15,2015,11,紺珠伝,1
25,25,霧雨魔理沙,1,45,16,2017,13,天空璋,1
26,26,霧雨魔理沙,1,49,17,2019,15,鬼形獣,1
27,27,霧雨魔理沙,1,53,18,2021,16,虹龍洞,1
28,28,チルノ,4,46,16,2017,13,天空璋,3
29,29,十六夜咲夜,8,10,7,2003,2,妖々夢,0
30,30,十六夜咲夜,8,14,8,2004,2,永夜抄,0
31,31,十六夜咲夜,8,38,14,2013,9,輝針城,0
32,32,十六夜咲夜,8,54,18,2021,16,虹龍洞,0
33,33,魂魄妖夢,18,15,8,2004,2,永夜抄,26
34,34,魂魄妖夢,18,34,13,2011,8,神霊廟,26
35,35,魂魄妖夢,18,50,17,2019,15,鬼形獣,26
36,36,鈴仙・優曇華院・イナバ,26,42,15,2015,11,紺珠伝,48
37,37,東風谷早苗,41,30,12,2009,6,星蓮船,92
38,38,東風谷早苗,41,35,13,2011,8,神霊廟,92
39,39,東風谷早苗,41,43,15,2015,11,紺珠伝,92
40,40,東風谷早苗,41,55,18,2021,16,虹龍洞,92
