,名前,charid
0,魅魔,9
1,小兎姫,11
2,めい＆まい,12
3,幽香,14
4,エーリッヒ,15
5,エレン・ふわふわ頭・オーレウス,16
6,朝倉理香子,17
7,ビビット(VIVIT),18
8,玄爺,20
9,里香,21
10,マイ,22
11,岡崎夢美,23
12,幻月,24
13,プリズムリバー三姉妹,25
14,その他（中国）,34
15,北白河ちゆり,35
16,ゲイツ,36
17,ユキ＆マイ,38
18,その他（毛玉）,39
19,ＶＩＶＩＴ,40
20,岡崎　夢美,41
21,エレン,42
22,ミューズ,43
23,カナ・アナベラル,44
24,神綺,45
25,ルイズ,46
26,ビビット（オリジナル）,47
27,蓮子,57
28,名無しの本読み妖怪,58
29,ユキ,60
30,メリー,61
31,VIVIT,62
32,エリー,63
33,毛玉,64
34,上海人形,65
35,夢月,66
36,くるみ,67
37,明羅,68
38,マリー,69
39,サラ,70
40,夢子,71
41,その他1票項目,72
42,風見幽香,75
45,魂魄妖忌,81
46,レイラ・プリズムリバー,82
47,ザコ妖精,85
48,サリエル,87
49,化け化け,88
50,るーこと,89
51,大ガマ,90
52,オレンジ,91
53,ツチノコ,103
54,カラス,104
55,月の兎,106
56,永遠亭の妖怪兎,107
57,前鬼・後鬼,108
58,月の都の門番,109
59,コンガラ,110
60,シンギョク,111
61,幽霊,112
62,アリスの人形（上海、蓬莱、大江戸他）,121
63,妖精（メイド妖精・ひまわり妖精他）,124
64,幽霊（怨霊、化け化け含む）,125
65,ユウゲンマガン,126
66,カラス（地獄鴉、紫・文の使い魔他）,127
67,酒虫,128
68,岩笠,129
69,エリス,130
70,月の兎（玉兎）,131
71,木花咲耶姫,132
72,キクリ,133
74,核熱造神ヒソウテンソク,143
75,大ナマズ,144
76,UFO（赤・青・緑、その他）,145
77,レイラ･プリズムリバー,146
78,ミミちゃん,147
79,毘沙門天,148
80,命蓮,149
81,大天狗,150
82,水江浦島子,151
83,河童,154
84,天狗（大天狗他）,155
85,化け狸,156
86,神降ろしの神霊（天照、伊豆能売他）,164
87,妖怪狐,165
88,雷獣,166
89,大鷲（久米、竿打）,167
90,子龍,168
91,ホフゴブリン,179
92,チュパカブラ,180
93,河童（山童）,181
94,邪龍,182
95,仙台四郎（福の神）,183
96,運松,184
97,座敷童,185
98,煙々羅,186
99,野鉄砲（マミ）,187
100,沓頬,188
101,易者,190
102,万歳楽,191
103,八尺さま,192
104,お菊さん,193
105,狐の子,194
106,トカゲ,195
107,ウワバミ,196
108,ネッシー号,197
109,人面犬,198
110,小鈴の両親,199
111,彭祖,200
112,緑の小人,201
113,蓬莱人形ジャケット・レーベルイラストの娘,209
114,嫦娥,210
115,河童（山童含む）,211
116,狐（妖怪狐、狐の子他）,212
117,華扇の動物（久米、竿打、雷獣、彭祖、人面犬他）,213
118,龍（子龍、邪龍他）,214
119,兎（玉兎、永遠亭の妖怪兎他）,215
120,都市伝説の怪異（お菊さん、八尺さま他）,216
121,天狗（香霖堂の天狗、大天狗他）,217
122,幽霊（怨霊、神霊、化け化け含む）,218
123,狸（化け狸、野鉄砲他）,219
124,抗鬱薬おじさん,220
125,蓬莱人形ジャケットイラストの娘,221
126,なめえもん,222
127,蓬莱人形レーベルイラストの娘,223
128,ケセランパサラン,224
129,塩屋敷の旦那,225
130,ヤマネ,226
131,依神紫苑,227
132,依神女苑,230
133,アリスの人形（上海、蓬莱、大江戸他）,236
134,妖精（メイド妖精・ひまわり妖精他）,237
135,旧作名無し中ボス,238
136,龍（子龍、邪龍他）,239
137,都市伝説の怪異（お菊さん、八尺さま他）,240
138,兎（玉兎、永遠亭の妖怪兎他）,241
139,天狗（香霖堂の天狗、大天狗他）,242
140,華扇の動物（久米、竿打、雷獣、彭祖、人面犬他）,243
141,里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）,244
142,カラス（地獄鴉、紫・文の使い魔他）,245
143,神降ろしの神霊（天照、伊豆能売他）,246
144,依神紫苑,247
145,奥野田美宵,253
146,カワウソ霊,254
147,影華扇（断善修悪の怪腕-茨木童子の腕）,257
148,オオカミ霊,258
149,オオワシ霊,259
