Track Name,Notes,作品,年,人気投票
緋想天,（タイトル）,緋想天,2008,5
日常坐臥,（会話曲）,緋想天,2008,5
地の色は黄色,（ステージ博麗神社(壊)）,緋想天,2008,5
甲論乙駁,（会話曲）,緋想天,2008,5
風光明媚,（会話曲）,緋想天,2008,5
香る樹葉花,（ステージ魔法の森）,緋想天,2008,5
踊る水飛沫,（ステージ玄武の沢）,緋想天,2008,5
以魚駆蠅,（会話曲）,緋想天,2008,5
放縦不羈,（会話曲）,緋想天,2008,5
嘲りの遊戯,（ステージ妖怪の山）,緋想天,2008,5
冷吟閑酔,（会話曲）,緋想天,2008,5
雲外蒼天,（会話曲 衣玖戦前など）,緋想天,2008,5
黒い海に紅く　～,（ステージ玄雲海 / 永江衣玖のテーマ） （ZUN）,緋想天,2008,5
天衣無縫,（会話曲 天子戦前）,緋想天,2008,5
有頂天変　～,（ステージ有頂天 / 比那名居天子のテーマ） （ZUN）,緋想天,2008,5
幼心地の有頂天,（「全人類の緋想天」）（ZUN）,緋想天,2008,5
暮色蒼然,（エンディング）,緋想天,2008,5
君はあの影を見たか,タイトル）,非想天則,2009,6
伝説の巨神,会話曲）,非想天則,2009,6
ぼくらの非想天則,会話曲）,非想天則,2009,6
人形のある風景,会話曲）,非想天則,2009,6
悠久の蒸気機関,スタッフロール）,非想天則,2009,6
アンノウンX　～ Unfound Adventure,最終面戦闘曲）,非想天則,2009,6
空に浮かぶ物体X,ファイナルスペル）,非想天則,2009,6
異変の種子,本編中に「異変の種子」が成長していくので同一記事にまとめた。,憑依華,2017,13
意気揚々,,憑依華,2017,13
知略縦横,,憑依華,2017,13
異心同体,,憑依華,2017,13
合縁奇縁,,憑依華,2017,13
憑依投合,,憑依華,2017,13
連帯責人,,憑依華,2017,13
壮言大語,,憑依華,2017,13
開演間近,,憑依華,2017,13
天衣無縫　～ Yellow Lily,,憑依華,2017,13
エンディング,,憑依華,2017,13
行雲流水,,憑依華,2017,13
未だ蕾む憑依華,,憑依華,2017,13
咲き誇る憑依華,,憑依華,2017,13
悠久の蒸気機関,,憑依華,2017,13
地の色は黄色 ～ Primrose,博麗神社）,憑依華,2017,13
マッシュルーム・ワルツ,香霖堂）,憑依華,2017,13
聖輦船空を往く,雲上の宝船）,憑依華,2017,13
法力の下の平等,命蓮寺）,憑依華,2017,13
恒常不変の参廟祀,夢殿大祀廟）,憑依華,2017,13
光り輝く天球儀,神霊廟）,憑依華,2017,13
沢の河童の技術力,玄武の沢）,憑依華,2017,13
地底に咲く薔薇,地霊殿）,憑依華,2017,13
