,musicid,Track Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,order,Number,Notes,作品,年,番号,人気投票,書籍,CD,秘封
0,0.0,亡き王女の為のセプテット,0.1194690265486725,0.0871643149749658,0.0485813549507817,0.0435292862477328,0.0425363872278009,0.0381332170228674,0.0344665689409628,0.0339076429930882,0.0328339491658268,0.030729143552712494,0.0337860939296926,0.0361793556445574,0.0350068765509612,0.0319089349428197,0.0322944364040254,0.0329653621628542,0.0342651817699708,0.0379767657037113,13.0,13,６面ボス・レミリア・スカーレットのテーマ,紅魔郷,2002.0,6.0,1.0,,,
1,1.0,U.N.オーエンは彼女なのか？,0.1135693215339233,0.0812471552116522,0.0562825709322524,0.0460898324975994,0.059065779081575,0.0349632375848962,0.0289994939825658,0.0289341881198036,0.0301959467024969,0.030247316668040296,0.0361794050912255,0.0375589188450197,0.0355525159207103,0.0326763371100692,0.031015448823668,0.0342817360130277,0.0427430905043814,0.0543993890349395,15.0,15,EXTRAステージボス・フランドール・スカーレットのテーマ,紅魔郷,2002.0,6.0,1.0,,,
2,2.0,明治十七年の上海アリス,0.0722713864306784,0.0366408739189804,0.0184713375796178,0.0102421849994665,0.006844935875738,0.0065658296467069,0.0051645078328368,0.0050335570469798,0.0054058895980293,0.005300095731394191,0.0061728778789668,0.0061489990398985,0.0061216252578706,0.0061303966234304,0.0069334589882535,0.0073100760616014,0.0081135390398678,0.0095052064210077,7.0,07,３面ボス・紅 美鈴のテーマ,紅魔郷,2002.0,6.0,1.0,,,
3,3.0,上海紅茶館,0.0693215339233038,0.0355029585798816,0.0223508975101331,0.0,0.0254804618451239,0.0195650819365692,0.0170533091975189,0.0171992387057998,0.0159534206695778,0.014308990509278337,0.0178596960184005,0.0189099586441752,0.0188432445361317,0.0174032698388896,0.0174907161208531,0.0183572134486194,0.0195929882283335,0.0206494441099149,6.0,06,３面テーマ,紅魔郷,2002.0,6.0,1.0,,,
4,4.0,月時計,0.0663716814159292,0.0298133818843878,0.0222929936305732,0.0,0.0146865245026138,0.0119088416723783,0.0107098329099132,0.0108734849243714,0.0104266039637218,0.00967457665802337,0.010617598607528,0.0126615316258649,0.0127552545818758,0.0113743114329691,0.0110452918672096,0.0117513373798158,0.0135538311128427,0.0164549339834628,11.0,11,５面ボス・十六夜 咲夜のテーマ,紅魔郷,2002.0,6.0,1.0,,,
5,5.0,人形裁判,0.0589970501474926,0.0300409649522075,0.0138969310943833,0.0,0.0120350520892098,0.009346376721291,0.0076059115356324,0.0069117499749574,0.0073496808867987,0.0060418555406921825,0.0070742548099337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,07,３面ボス・アリス・マーガトロイドのテーマ,妖々夢,2003.0,7.0,2.0,,,
6,6.0,おてんば恋娘,0.0560471976401179,0.0202548930359581,0.0127967573827446,0.0088552224474554,0.0115085185603068,0.0080067293912393,0.0080597622239727,0.0070319543223479,0.0060553129548762,0.005858000545225159,0.0,0.008243200835195,0.0079454061649774,0.0081988541891778,0.0084985358957961,0.0096747476283264,0.0125725582720939,0.0135616619424576,5.0,05,２面ボス・チルノのテーマ,紅魔郷,2002.0,6.0,1.0,,,
7,7.0,ラクトガール,0.0471976401179941,0.0,0.0,0.0148298303638109,0.0,0.0,0.0,0.0,0.0,0.005008463669618913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,09,４面ボス・パチュリー・ノーレッジのテーマ,紅魔郷,2002.0,6.0,1.0,,,
8,8.0,魔法少女達の百年祭,0.0324483775811209,0.0152480655439235,0.0043427909669947,0.0032006828123332,0.002312986573395,0.0033802729142002,0.0032865049845325,0.0038415306020234,0.004989362893293,0.005547349001160188,0.0078637366736083,0.0080598804999984,0.0088797201542739,0.0083091131212539,0.0084200015706865,0.0080942987808537,0.0074749901692334,0.0090675439498303,14.0,14,EXTRAステージテーマ,紅魔郷,2002.0,6.0,1.0,,,
9,9.0,遠野幻想物語,0.0309734513274336,0.0141101502048247,0.0092067168500289,0.0088552224474554,0.0070517883335213,0.005958315159823,0.0062860928672408,0.0058449363918661,0.0065121486955548,0.006073554677841669,0.0067572187859385,0.0069133516239385,0.0069475588244087,0.006597894495433,0.0063668899285337,0.0054895590347658,0.0046105393032241,0.0043178780713477,4.0,04,２面テーマ,妖々夢,2003.0,7.0,2.0,,,
10,11.0,メイドと血の懐中時計,0.0191740412979351,0.0104688211197086,0.0074116965836711,0.0097620825776165,0.0057730640490428,0.0046342451243068,0.0043141898765213,0.0040168286086346,0.003789049378569,0.0033410890555559077,0.0040966027414291,0.0048999350611016,0.0050565073100726,0.0048910862268952,0.0052505805930463,0.0055095647163794,0.0061654238413224,0.0072375861005448,10.0,10,５面テーマ,紅魔郷,2002.0,6.0,1.0,,,
11,12.0,ティアオイエツォン,0.0162241887905604,0.0154756486117432,0.0045165026056745,0.003307372239411,0.0029335439467448,0.0027493924855131,0.0022014366721789,0.0018431333266553,0.0017422461090583,0.0015786170300444422,0.0016349112609952,0.0015380265410559,0.0016219690854187,0.0013098761130639,0.0013182547429122,0.0011803352152011,0.0011796919813413,0.0011896194686366,5.0,05,２面ボス・橙のテーマ,妖々夢,2003.0,7.0,2.0,,,
12,13.0,二色蓮花蝶,0.0162241887905604,0.0109239872553482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004983104359899323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-,vs霊夢,非想天則,2009.0,12.3,6.0,,,
13,14.0,東方怪奇談,0.0132743362831858,0.0054619936276741,0.0012738853503184,0.0010668942707777,0.0003008763022302,0.0001635615926225,0.0001669335865159,0.0001202043473905,0.0001477997984548,0.00019019482289692075,0.0001864917788207,0.0001771060865458,0.0002130235895596,0.0001984660777369,0.000235602975329,0.0002200624977493,0.0002056343820686,0.0002291118976633,5.0,05,地獄６～９面テーマ,靈異伝,1995.0,1.0,1.0,,,
14,15.0,魔女達の舞踏会,0.0117994100294985,0.0,0.0,0.0070415021871332,0.0049080446801308,0.0031544021434357,0.0024570537265314,0.0023039166583191,0.0021856455044227,0.001978026158127976,0.001840052217698,0.0016840613843481,0.0016817651807336,0.0017597325559343,0.0018567758293785,0.0018245181631583,0.0017280503335245,0.0017682738768376,17.0,17,エキストラボス・魔理沙のテーマ,秋霜玉,0.0,0.0,1.0,,,
15,16.0,無何有の郷,0.0117994100294985,0.0063723258989531,0.004979733642154,0.0,0.0032156154800857,0.0031466134961679,0.0032134715404318,0.0028899128518481,0.0029783898779531,0.0025232513170991484,0.0027600783265471,0.0025726989414027,0.0026796125213023,0.002443337934806,0.0025860231339683,0.0024486954295019,0.0023918525493251,0.0019738871183304,2.0,02,１面テーマ,妖々夢,2003.0,7.0,2.0,,,
16,17.0,the Grimoire of Alice,0.0103244837758112,0.0052344105598543,0.0032426172553561,0.0046409900778832,0.0045883636090112,0.0055688827964359,0.0101568654045791,0.0075077631974356,0.0069286754002911,0.00501480349704881,0.00416498306033,0.003374337017347,0.0032514126827518,0.0030828397408474,0.002900160434407,0.0024727022474382,0.0020130523718302,0.0017947098650295,16.0,-,vsアリス,非想天則,2009.0,12.3,6.0,,,
17,18.0,ほおずきみたいに紅い魂,0.0088495575221238,0.0061447428311333,0.003300521134916,0.0024005121092499,0.0020309150400541,0.0017446569879743,0.0017893193804677,0.0016928778924171,0.0016213190012316,0.0017371127157918761,0.0024865570509433,0.0029424467361212,0.0030383890931922,0.0029990429524695,0.0031750305722908,0.0033969647379855,0.0038637618104483,0.0039418995726181,2.0,02,１面テーマ,紅魔郷,2002.0,6.0,1.0,,,
18,19.0,エニグマティクドール,0.0088495575221238,0.0040964952207555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011221494550918323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10,ミューズのテーマ,稀翁玉,0.0,0.0,1.0,,,
19,20.0,不思議の国のアリス,0.0088495575221238,0.0034137460172963,0.0015055008685581,0.0020804438280166,0.0029523487156342,0.0037151847467131,0.0041994230357916,0.0044024842231794,0.0043668122270742,0.0046280740238250715,0.004146333882448,0.0032842304119114,0.0037634167488862,0.0035900308283974,0.0038874490929285,0.0036890476895438,0.0031422376628389,0.002802214748344,16.0,16,エキストラステージテーマ,怪綺談,1998.0,5.0,1.0,,,
20,21.0,妖魔夜行,0.0088495575221238,0.0025034137460172,0.0020845396641574,0.0011735836978555,0.0019745007333859,0.0028662221945292,0.0027961375741419,0.0028448362215766,0.0032157653118351,0.0037404981836394414,0.0053398812669008,0.0067983880239,0.0072315902771549,0.0065626116371687,0.0066866368236231,0.0065338556149946,0.0069482775414786,0.0085358868539705,3.0,03,１面ボス・ルーミアのテーマ,紅魔郷,2002.0,6.0,1.0,,,
21,22.0,クリスタライズシルバー,0.0073746312684365,0.0106964041875284,0.0048639258830341,0.0037341299477221,0.0051148971379141,0.0037073960994454,0.0028796043673999,0.0025944104978463,0.002414063374762,0.0019526668484083863,0.001927081714481,0.0017306682492286,0.001790145603492,0.0014951111189517,0.0012621587964053,0.0015444386205682,0.0014214025707905,0.0013482353977881,3.0,03,１面ボス・レティ・ホワイトロックのテーマ,妖々夢,2003.0,7.0,2.0,,,
