,名前,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18
0,亡き王女の為のセプテット,81.0,383.0,839.0,816.0,2262.0,4896.0,6607.0,6770.0,7331.0,5435.0,11644.0,9367.0,7235.0,5757.0,8239.0,9498,12929
1,U.N.オーエンは彼女なのか？,77.0,357.0,972.0,864.0,3141.0,4489.0,5559.0,5777.0,6742.0,5820.0,12088.0,9513.0,7409.0,5529.0,8568.0,11848,18520
2,明治十七年の上海アリス,49.0,161.0,319.0,192.0,364.0,843.0,990.0,1005.0,1207.0,993.0,1979.0,1638.0,1390.0,1236.0,1827.0,2249,3236
3,上海紅茶館 〜 Chinese Tea,47.0,156.0,386.0,,1355.0,2512.0,3269.0,3434.0,3562.0,2873.0,6086.0,5042.0,3946.0,3118.0,4588.0,5431,7030
4,月時計 〜 ルナ・ダイアル,45.0,131.0,385.0,,781.0,1529.0,2053.0,2171.0,2328.0,1708.0,4075.0,3413.0,2579.0,1969.0,2937.0,3757,5602
5,人形裁判 〜 人の形弄びし少女,40.0,132.0,240.0,,640.0,1200.0,1458.0,1380.0,1641.0,1138.0,,,,,,,
6,おてんば恋娘,38.0,89.0,221.0,166.0,612.0,1028.0,1545.0,1404.0,1352.0,,2653.0,2126.0,1859.0,1515.0,2418.0,3485,4617
7,ラクトガール ～ 少女密室,32.0,,,278.0,,,,,,,,,,,,,
8,魔法少女達の百年祭,22.0,67.0,75.0,60.0,123.0,434.0,630.0,767.0,1114.0,1265.0,2594.0,2376.0,1884.0,1501.0,2023.0,2072,3087
9,遠野幻想物語,21.0,62.0,159.0,166.0,375.0,765.0,1205.0,1167.0,1454.0,1087.0,2225.0,1859.0,1496.0,1135.0,1372.0,1278,1470
10,リーインカネーション,16.0,,,,,,,,,,,,,,,,
11,メイドと血の懐中時計,13.0,46.0,128.0,183.0,307.0,595.0,827.0,802.0,846.0,659.0,1577.0,1353.0,1109.0,936.0,1377.0,1709,2464
12,ティアオイエツォン(withered leaf),11.0,68.0,78.0,62.0,156.0,353.0,422.0,368.0,389.0,263.0,495.0,434.0,297.0,235.0,295.0,327,405
13,二色蓮花蝶 〜 Ancients,11.0,48.0,,,,,,,,,,,,,,,
14,東方怪奇談,9.0,24.0,22.0,20.0,16.0,21.0,32.0,24.0,33.0,30.0,57.0,57.0,45.0,42.0,55.0,57,78
15,魔女達の舞踏会,8.0,,,132.0,261.0,405.0,471.0,460.0,488.0,296.0,542.0,450.0,399.0,331.0,456.0,479,602
16,無何有の郷 〜 Deep Mountain,8.0,28.0,86.0,,171.0,404.0,616.0,577.0,665.0,444.0,828.0,717.0,554.0,461.0,612.0,663,672
17,the Grimoire of Alice,7.0,23.0,56.0,87.0,244.0,715.0,1947.0,1499.0,1547.0,670.0,1086.0,870.0,699.0,517.0,618.0,558,611
18,ほおずきみたいに紅い魂,6.0,27.0,57.0,45.0,108.0,224.0,343.0,338.0,362.0,400.0,947.0,813.0,680.0,566.0,849.0,1071,1342
19,エニグマティクドール ～ God Knows,6.0,18.0,,,,,,,,,,,,,,,
20,不思議の国のアリス,6.0,15.0,26.0,39.0,157.0,477.0,805.0,879.0,975.0,667.0,1057.0,1007.0,814.0,693.0,922.0,871,954
21,妖魔夜行,6.0,11.0,36.0,22.0,105.0,368.0,536.0,568.0,718.0,859.0,2188.0,1935.0,1488.0,1192.0,1633.0,1926,2906
22,クリスタライズシルバー,5.0,47.0,84.0,70.0,272.0,476.0,552.0,518.0,539.0,310.0,557.0,479.0,339.0,225.0,386.0,394,459
23,ブクレシュティの人形師,5.0,43.0,107.0,104.0,266.0,748.0,1019.0,980.0,1013.0,560.0,1025.0,992.0,743.0,557.0,642.0,735,855
24,永遠の巫女,5.0,17.0,57.0,54.0,68.0,114.0,249.0,251.0,320.0,260.0,433.0,424.0,385.0,361.0,461.0,467,492
25,空飛ぶ巫女の不思議な毎日,5.0,15.0,22.0,23.0,27.0,41.0,56.0,56.0,87.0,105.0,116.0,120.0,106.0,101.0,159.0,161,190
26,星の器 〜 Casket of Star,5.0,15.0,48.0,,136.0,693.0,659.0,590.0,611.0,347.0,706.0,620.0,480.0,352.0,484.0,481,567
27,魔法少女十字軍,5.0,17.0,71.0,91.0,130.0,274.0,330.0,378.0,441.0,192.0,345.0,286.0,253.0,226.0,253.0,279,323
28,夢消失 〜 Lost Dream ,5.0,,,,,,,,,,,,,,,,
29,Witch of Love Potion,4.0,16.0,43.0,29.0,34.0,71.0,107.0,101.0,111.0,103.0,195.0,183.0,146.0,106.0,144.0,147,217
30,Dream Express,3.0,7.0,17.0,13.0,8.0,39.0,49.0,53.0,50.0,32.0,52.0,53.0,52.0,45.0,45.0,40,32
31,Tabula rasa　～空白少女,3.0,10.0,21.0,19.0,,,,,,,,,,,,,
32,Witching Dream,3.0,2.0,1.0,7.0,6.0,20.0,17.0,30.0,46.0,42.0,72.0,55.0,37.0,51.0,42.0,36,55
33,シルクロードアリス,3.0,5.0,13.0,8.0,13.0,29.0,48.0,43.0,54.0,45.0,78.0,69.0,52.0,60.0,56.0,67,61
34,メイプルワイズ,3.0,4.0,11.0,7.0,21.0,28.0,39.0,46.0,56.0,39.0,84.0,65.0,46.0,49.0,80.0,77,72
35,紅より儚い永遠,3.0,5.0,3.0,3.0,10.0,17.0,27.0,33.0,58.0,70.0,159.0,151.0,131.0,114.0,183.0,268,350
36,神話幻想 〜 Infinite Being,3.0,6.0,14.0,,93.0,179.0,238.0,260.0,303.0,200.0,364.0,291.0,253.0,204.0,285.0,260,287
37,眠れる恐怖 ～Sleeping Terror,3.0,,,,,,,,,,,,,,,,
38,Complete Darkness,2.0,5.0,4.0,7.0,46.0,115.0,160.0,198.0,181.0,96.0,182.0,197.0,150.0,125.0,203.0,222,290
39,Maple Dream ... (夢時空),2.0,,,,,,,,,,,,,,,,
40,Peaceful Romancer,2.0,8.0,4.0,7.0,13.0,23.0,39.0,38.0,34.0,35.0,50.0,55.0,50.0,56.0,79.0,74,67
41,Romantic Children,2.0,8.0,14.0,22.0,98.0,311.0,417.0,393.0,441.0,215.0,312.0,318.0,289.0,223.0,324.0,277,338
42,the Last Judgement,2.0,7.0,16.0,12.0,23.0,48.0,54.0,79.0,86.0,45.0,76.0,84.0,60.0,55.0,84.0,61,73
43,アンティークテラー,2.0,2.0,2.0,2.0,3.0,8.0,9.0,11.0,7.0,5.0,11.0,17.0,8.0,11.0,11.0,4,8
44,オルフェの詩 〜 Pseudoclassic,2.0,4.0,9.0,,2.0,9.0,12.0,14.0,17.0,14.0,34.0,20.0,17.0,12.0,23.0,27,29
45,スプートニク幻夜,2.0,1.0,7.0,8.0,5.0,12.0,94.0,78.0,91.0,53.0,90.0,89.0,77.0,65.0,68.0,56,88
46,フォルスストロベリー,2.0,4.0,7.0,26.0,19.0,57.0,75.0,56.0,57.0,32.0,52.0,61.0,30.0,36.0,38.0,24,41
47,ルーネイトエルフ,2.0,8.0,21.0,17.0,43.0,169.0,321.0,356.0,463.0,459.0,907.0,813.0,643.0,508.0,689.0,833,992
48,ヴアル魔法図書館,2.0,,,,,,,,,,,,,,,,
49,禁断の魔法 〜 Forbidden Magic,2.0,5.0,3.0,,11.0,9.0,26.0,16.0,17.0,18.0,32.0,29.0,21.0,33.0,34.0,23,32
50,紅楼 ～ Eastern Dream...,2.0,,,88.0,,,,,,,,,,,,,
51,昔話わんだーらんど,2.0,3.0,2.0,3.0,1.0,9.0,7.0,15.0,18.0,15.0,35.0,35.0,24.0,23.0,24.0,21,24
52,蓬莱伝説,2.0,23.0,55.0,61.0,121.0,224.0,279.0,271.0,435.0,442.0,768.0,629.0,571.0,534.0,691.0,690,795
53,夢機械 〜 Innocent Power,2.0,1.0,4.0,,1.0,4.0,1.0,2.0,2.0,3.0,7.0,4.0,5.0,2.0,10.0,15,9
54,夢幻遊戯 〜 Dream War,2.0,2.0,,,9.0,15.0,25.0,33.0,27.0,21.0,30.0,36.0,32.0,32.0,43.0,45,59
