,Number,Track Name,Notes,title
1,01,赤より紅い夢,タイトル画面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
2,02,ほおずきみたいに紅い魂,１面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
3,03,妖魔夜行,１面ボス・ルーミアのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
4,04,ルーネイトエルフ,２面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
5,05,おてんば恋娘,２面ボス・チルノのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
6,06,上海紅茶館　～ Chinese Tea,３面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
7,07,明治十七年の上海アリス,３面ボス・紅 美鈴のテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
8,08,ヴワル魔法図書館,４面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
9,09,ラクトガール　～ 少女密室,４面ボス・パチュリー・ノーレッジのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
10,10,メイドと血の懐中時計,５面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
11,11,月時計　～ ルナ・ダイアル,５面ボス・十六夜 咲夜のテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
12,12,ツェペシュの幼き末裔,６面テーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
13,13,亡き王女の為のセプテット,６面ボス・レミリア・スカーレットのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
14,14,魔法少女達の百年祭,EXTRAステージテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
15,15,U.N.オーエンは彼女なのか？,EXTRAステージボス・フランドール・スカーレットのテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
16,16,紅より儚い永遠,エンディングテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
17,17,紅楼　～ Eastern Dream...,スタッフロールテーマ,東方紅魔郷　～ the Embodiment of Scarlet Devil.
1,01,妖々夢　～ Snow or Cherry Petal,タイトル画面テーマ,東方妖々夢　～ Perfect Cherry Blossom.
2,02,無何有の郷　～ Deep Mountain,１面テーマ,東方妖々夢　～ Perfect Cherry Blossom.
3,03,クリスタライズシルバー,１面ボス・レティ・ホワイトロックのテーマ,東方妖々夢　～ Perfect Cherry Blossom.
4,04,遠野幻想物語,２面テーマ,東方妖々夢　～ Perfect Cherry Blossom.
5,05,ティアオイエツォン(withered leaf),２面ボス・橙のテーマ,東方妖々夢　～ Perfect Cherry Blossom.
6,06,ブクレシュティの人形師,３面テーマ,東方妖々夢　～ Perfect Cherry Blossom.
7,07,人形裁判　～ 人の形弄びし少女,３面ボス・アリス・マーガトロイドのテーマ,東方妖々夢　～ Perfect Cherry Blossom.
8,08,天空の花の都,４面テーマ,東方妖々夢　～ Perfect Cherry Blossom.
9,09,幽霊楽団　～ Phantom Ensemble,４面ボス・プリズムリバー三姉妹のテーマ,東方妖々夢　～ Perfect Cherry Blossom.
10,10,東方妖々夢　～ Ancient Temple,５面テーマ,東方妖々夢　～ Perfect Cherry Blossom.
11,11,広有射怪鳥事　～ Till When?,５面ボス・魂魄 妖夢のテーマ,東方妖々夢　～ Perfect Cherry Blossom.
12,12,アルティメットトゥルース,６面テーマ,東方妖々夢　～ Perfect Cherry Blossom.
13,13,幽雅に咲かせ、墨染の桜　～ Border of Life,６面ボス・西行寺 幽々子のテーマ,東方妖々夢　～ Perfect Cherry Blossom.
14,14,ボーダーオブライフ,６面ボス・西行寺 幽々子のテーマ２,東方妖々夢　～ Perfect Cherry Blossom.
15,15,妖々跋扈,EXTRAステージテーマ,東方妖々夢　～ Perfect Cherry Blossom.
16,16,少女幻葬　～ Necro-Fantasy,EXTRAステージボス・八雲 藍のテーマ,東方妖々夢　～ Perfect Cherry Blossom.
17,17,妖々跋扈　～ Who done it!,PHANTASMステージテーマ,東方妖々夢　～ Perfect Cherry Blossom.
18,18,ネクロファンタジア,PHANTASMステージボス・八雲 紫のテーマ,東方妖々夢　～ Perfect Cherry Blossom.
19,19,春風の夢,エンディングテーマ,東方妖々夢　～ Perfect Cherry Blossom.
20,20,さくらさくら　～ Japanize Dream...,スタッフロールテーマ,東方妖々夢　～ Perfect Cherry Blossom.
