,Track Name,Notes,作品
0,物言わぬ獣の霊, タイトル画面テーマ,鬼形獣
1,地蔵だけが知る哀嘆, 1面テーマ,鬼形獣
2,ジェリーストーン, 1面ボス・戎瓔花のテーマ,鬼形獣
3,ロストリバー, 2面テーマ,鬼形獣
4,石の赤子と水中の牛, 2面ボス・牛崎潤美のテーマ,鬼形獣
5,不朽の曼珠沙華, 3面テーマ,鬼形獣
6,セラフィックチキン, 3面ボス・庭渡久侘歌のテーマ,鬼形獣
7,アンロケイテッドヘル, 4面テーマ,鬼形獣
8,トータスドラゴン, 4面ボス・吉弔八千慧のテーマ,鬼形獣
9,ビーストメトロポリス, 5面テーマ,鬼形獣
10,セラミックスの杖刀人, 5面ボス・杖刀偶磨弓のテーマ,鬼形獣
11,エレクトリックヘリテージ, 6面テーマ,鬼形獣
12,偶像に世界を委ねて, 6面ボス・埴安神袿姫のテーマ,鬼形獣
13,輝かしき弱肉強食の掟, Extraステージのテーマ,鬼形獣
14,聖徳太子のペガサス, Exボス・驪駒早鬼のテーマ,鬼形獣
15,畜生達の休息, エンディング,鬼形獣
16,地下からの帰還, スタッフロール,鬼形獣
17,桜舞い散る天空, タイトル画面テーマ,天空璋
18,希望の星は青霄に昇る, １面テーマ,天空璋
19,真夏の妖精の夢, １面ボス・エタニティラルバのテーマ,天空璋
20,色無き風は妖怪の山に, ２面テーマ,天空璋
21,山奥のエンカウンター, ２面ボス・坂田 ネムノのテーマ,天空璋
22,桜色の海を泳いで, ３面テーマ,天空璋
23,一対の神獣, ３面ボス・高麗野 あうんのテーマ,天空璋
24,幻想のホワイトトラベラー, ４面テーマ,天空璋
25,魔法の笠地蔵, 矢田寺　成美のテーマ,天空璋
26,禁断の扉の向こうは、この世かあの世か, ５面テーマ,天空璋
27,クレイジーバックダンサーズ, 丁礼田　舞・爾子田　里乃のテーマ,天空璋
28,イントゥ・バックドア, ６面テーマ,天空璋
29,秘匿されたフォーシーズンズ, 摩多羅　隠岐奈のテーマ,天空璋
30,もうドアには入れない, Extraステージのテーマ,天空璋
31,秘神マターラ, 摩多羅　隠岐奈(真)のテーマ,天空璋
32,不自然な自然, エンディングテーマ,天空璋
33,白い旅人, スタッフロールテーマ,天空璋
34,プレイヤーズスコア, ゲームオーバーテーマ　（※紺珠伝・輝針城・神霊廟・妖精大戦争と同じ）,天空璋
