,名前,作品ポイント比率,音楽集計ポイント比率,回,回n,名前n
0,東方紅魔郷,0.1118469037732442,0.1602312943347795,12.0,0.0,0.5789473684210527
1,東方永夜抄,0.1002130348438346,0.0814750140597368,12.0,0.0,0.5
2,東方妖々夢,0.0898718180176927,0.1048716602297397,12.0,0.0,0.2631578947368421
3,東方風神録,0.0792200758259613,0.0971566705298569,12.0,0.0,0.8157894736842105
4,東方地霊殿,0.0683083589095504,0.0850202429149788,12.0,0.0,0.18421052631578946
5,東方紺珠伝,0.0583065535295179,0.06131599143676465,12.0,0.0,0.6052631578947368
6,東方鈴奈庵,0.0435674309442137,,,,
7,東方輝針城,0.0400938797616898,0.04683679208056051,12.0,0.0,0.7368421052631579
8,東方星蓮船,0.037674670518144,0.04962388260041372,12.0,0.0,0.47368421052631576
9,東方非想天則,0.0334717458024914,0.06545778816247709,12.0,0.0,0.7894736842105263
10,東方深秘録,0.030236504784257,0.0025758060657281,12.0,0.0,0.5263157894736842
11,東方神霊廟,0.0287127640368297,0.038661947980523526,12.0,0.0,0.5526315789473685
12,東方茨歌仙,0.0270445928868026,,,,
13,東方花映塚,0.0248131431666365,0.053834036061284146,12.0,0.0,0.6578947368421053
14,東方緋想天,0.0191659144249864,0.0087279122299519,12.0,0.0,0.631578947368421
15,弾幕アマノジャク,0.0175988445567792,0.019668096979563898,12.0,0.0,0.13157894736842105
16,東方儚月抄,0.0151507492327134,,,,
17,東方心綺楼,0.0144141541794547,0.0048346854502689,12.0,0.0,0.3684210526315789
18,東方三月精,0.0141469579346452,,,,
19,東方求聞史紀 / 東方求聞口授,0.0138869832099656,,,,
20,東方香霖堂,0.0135547932839862,,,,
21,大空魔術,0.0117060841307095,,,,
22,東方文花帖,0.0106445206716013,0.017499324200459,12.0,0.0,0.4473684210526316
23,ダブルスポイラー,0.0102256725040621,0.011428003268694534,12.0,0.0,0.02631578947368421
24,蓬莱人形,0.0092507672865138,,,,
25,妖精大戦争,0.0092218812059938,0.016334152578446646,12.0,0.0,0.10526315789473684
26,東方幻想郷,0.0078786784618162,0.012201677225710082,12.0,0.0,0.3157894736842105
27,東方怪綺談,0.0073659505325871,0.011546073993057994,12.0,0.0,0.39473684210526316
28,東方萃夢想,0.0072865138111572,0.006304355256166801,12.0,0.0,0.6842105263157895
29,蓮台野夜行,0.0061743997111391,,,,
30,東方夢時空,0.0056833363423,0.008634698500190682,12.0,0.0,0.21052631578947367
31,卯酉東海道,0.0055677920202202,,,,
32,The Grimoire of Marisa,0.0044267918396822,,,,
33,夢違科学世紀,0.0041740386351326,,,,
34,東方靈異伝,0.0040584943130528,0.0022215938926362384,12.0,0.0,0.7631578947368421
35,伊弉諾物質,0.0037696335078534,,,,
36,鳥船遺跡,0.0032280194981043,,,,
37,東方文花帖（書籍）,0.0029391586929048,,,,
38,幺樂団の歴史,0.0018920382740566,,,,
39,東方封魔録,0.0018053800324968,0.001910881460099501,12.0,0.0,0.2894736842105263
40,未知の花　魅知の旅,0.0014009749052175,,,,
41,燕石博物誌,0.0,,,,
42,旧約酒場,0.0,,,,
43,東方天空璋,0.0,0.0,12.0,0.0,0.23684210526315788
44,東方憑依華,0.0,0.0,12.0,0.0,0.42105263157894735
45,東方文果真報,0.0,,,,
46,秘封ナイトメアダイアリー,0.0,0.0055213599261747,12.0,0.0,0.9210526315789473
47,東方鬼形獣,0.0,0.0,12.0,0.0,0.8421052631578947
48,東方酔蝶華,0.0,,,,
49,東方智霊奇伝 反則探偵さとり,0.0,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0,,,,
51,東方剛欲異聞,0.0,0.0,12.0,0.0,0.15789473684210525
52,東方Project人妖名鑑 宵闇編,0.0,,,,
53,東方虹龍洞,0.0,0.0,12.0,0.0,0.7105263157894737
54,バレットフィリア達の闇市場,0.0,,,,
55,東方Project人妖名鑑 常世編,0.0,,,,
56,虹色のセプテントリオン,0.0,,,,
57,Cradle,,0.0040019761310709,12.0,0.0,0.0
58,トルテルマジック,,0.0006959958488818033,12.0,0.0,0.05263157894736842
59,メニュー,,0.0009228159246333689,12.0,0.0,0.07894736842105263
60,東方幻想麻雀,,0.0006742459786043,12.0,0.0,0.34210526315789475
61,神魔討綺伝 ,,0.0001802132108712,12.0,0.0,0.868421052631579
62,秋霜玉,,0.0026224129306084316,12.0,0.0,0.8947368421052632
63,稀翁玉,,0.00041946178392423785,12.0,0.0,0.9473684210526315
64,黄昏酒場,,0.0004412116542019,12.0,0.0,0.9736842105263158
0,東方紅魔郷,0.1122615472739581,0.1594425509014255,13.0,0.14285714285714285,0.5789473684210527
1,東方永夜抄,0.1015604658832514,0.0828998116422988,13.0,0.14285714285714285,0.5
2,東方妖々夢,0.09069448542813,0.10465437856907853,13.0,0.14285714285714285,0.2631578947368421
3,東方風神録,0.0796983215011022,0.0963875683917832,13.0,0.14285714285714285,0.8157894736842105
4,東方地霊殿,0.0660464147471837,0.0817263132717425,13.0,0.14285714285714285,0.18421052631578946
5,東方紺珠伝,0.0596327090312613,0.060592130833855964,13.0,0.14285714285714285,0.6052631578947368
6,東方鈴奈庵,0.0464494627762059,,,,
7,東方輝針城,0.0393240874138619,0.04477232636708748,13.0,0.14285714285714285,0.7368421052631579
8,東方星蓮船,0.0357483813854992,0.04808353514515417,13.0,0.14285714285714285,0.47368421052631576
9,東方非想天則,0.032207390949645,0.06425090441594106,13.0,0.14285714285714285,0.7894736842105263
10,東方深秘録,0.0312700699519189,0.0017452985320058,13.0,0.14285714285714285,0.5263157894736842
11,東方神霊廟,0.0271996667303119,0.037260441893143474,13.0,0.14285714285714285,0.5526315789473685
12,東方茨歌仙,0.0288139417819513,,,,
13,東方花映塚,0.0236673551925847,0.05426495649833995,13.0,0.14285714285714285,0.6578947368421053
14,東方緋想天,0.0182430438631511,0.0087377044279008,13.0,0.14285714285714285,0.631578947368421
15,弾幕アマノジャク,0.0155959799343875,0.0203717822226206,13.0,0.14285714285714285,0.13157894736842105
16,東方儚月抄,0.0134609709951224,,,,
17,東方心綺楼,0.0121938518685667,0.005146201453045,13.0,0.14285714285714285,0.3684210526315789
18,東方三月精,0.0129315582093697,,,,
19,東方求聞史紀 / 東方求聞口授,0.0115516134071618,,,,
20,東方香霖堂,0.0119508427210081,,,,
21,大空魔術,0.0118727326378642,,,,
22,東方文花帖,0.0106403291038169,0.0178005501240764,13.0,0.14285714285714285,0.4473684210526316
23,ダブルスポイラー,0.0105708979188002,0.011256614943044,13.0,0.14285714285714285,0.02631578947368421
24,蓬莱人形,0.0100848796236829,,,,
25,妖精大戦争,0.0097637603929805,0.015659102460608802,13.0,0.14285714285714285,0.10526315789473684
26,東方幻想郷,0.0084098522851538,0.012239513259783423,13.0,0.14285714285714285,0.3157894736842105
27,東方怪綺談,0.0072468799361233,0.012359105450413497,13.0,0.14285714285714285,0.39473684210526316
28,東方萃夢想,0.007038586381073,0.0063084880557298,13.0,0.14285714285714285,0.6842105263157895
29,蓮台野夜行,0.00555449480134,,,,
30,東方夢時空,0.0054763847181961,0.008838610338744321,13.0,0.14285714285714285,0.21052631578947367
31,卯酉東海道,0.0055197792088316,,,,
32,The Grimoire of Marisa,0.0043915224523094,,,,
33,夢違科学世紀,0.0041051188141153,,,,
34,東方靈異伝,0.0041832288972592,0.0026534517296018818,13.0,0.14285714285714285,0.7631578947368421
35,伊弉諾物質,0.0033587335751852,,,,
36,鳥船遺跡,0.0026557428268906,,,,
37,東方文花帖（書籍）,0.002968183159466,,,,
38,幺樂団の歴史,0.0019353942823419,,,,
39,東方封魔録,0.0021784034299005,0.0022311418064397495,13.0,0.14285714285714285,0.2894736842105263
40,未知の花　魅知の旅,0.0014927704778601,,,,
41,燕石博物誌,0.0056846782732464,,,,
42,旧約酒場,0.0043654857579281,,,,
43,東方天空璋,0.0,0.0,13.0,0.14285714285714285,0.23684210526315788
44,東方憑依華,0.0,0.0,13.0,0.14285714285714285,0.42105263157894735
45,東方文果真報,0.0,,,,
46,秘封ナイトメアダイアリー,0.0,0.0052358955960175,13.0,0.14285714285714285,0.9210526315789473
47,東方鬼形獣,0.0,0.0,13.0,0.14285714285714285,0.8421052631578947
48,東方酔蝶華,0.0,,,,
49,東方智霊奇伝 反則探偵さとり,0.0,,,,
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,0.0,,,,
51,東方剛欲異聞,0.0,0.0,13.0,0.14285714285714285,0.15789473684210525
52,東方Project人妖名鑑 宵闇編,0.0,,,,
53,東方虹龍洞,0.0,0.0,13.0,0.14285714285714285,0.7105263157894737
54,バレットフィリア達の闇市場,0.0,,,,
