第,年,キャラ,音楽,作品,,
1,2002,544,678,,,
2,2003,1195, 945, 711,728
3,2004,4942,2636,,3525,2894
4,2005,4426,3801,2997
spell,2006,1602,,
5,2008,12220,10787,8501
6,2009,22087,18774,15156
7,2010,33449,28110,22245
8,2011,35946,29285,21499
9,2012,43737,32842,20105
10,2014,31040,23283,15494
11,2015,32244,20843,10636
12,2016,42419,32356,24742,18268
13,2017,36727,27694,21222,24241,16845
14,2018,32065,23648,18470
15,2019,23883,17951,13946
16,2020,34573,25919,19274
16ex,2021,10849,,
17,2021,40363,30104, 23047
18,2022,51652,37659,28558
