,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"inttitlepow[0, 0]",0.026,0.012,0.004,0.049,0.0,0.0,7464.0,2614.0,1.0
"inttitlepow[0, 1]",0.001,0.001,0.0,0.004,0.0,0.0,9117.0,3956.0,1.0
"inttitlepow[0, 2]",0.0,0.0,0.0,0.001,0.0,0.0,9933.0,3733.0,1.0
"inttitlepow[0, 3]",0.0,0.0,0.0,0.001,0.0,0.0,8232.0,3853.0,1.0
"inttitlepow[0, 4]",0.0,0.0,0.0,0.001,0.0,0.0,7553.0,3717.0,1.0
"inttitlepow[1, 0]",0.109,0.036,0.042,0.173,0.0,0.0,8903.0,3888.0,1.0
"inttitlepow[1, 1]",0.065,0.021,0.026,0.105,0.0,0.0,11061.0,4647.0,1.0
"inttitlepow[1, 2]",0.037,0.016,0.008,0.066,0.0,0.0,9532.0,4306.0,1.0
"inttitlepow[1, 3]",0.02,0.011,0.0,0.04,0.0,0.0,6448.0,2964.0,1.0
"inttitlepow[1, 4]",0.028,0.014,0.002,0.052,0.0,0.0,6921.0,3138.0,1.0
"inttitlepow[2, 0]",0.087,0.05,0.0,0.17,0.001,0.0,4723.0,2773.0,1.0
"inttitlepow[2, 1]",0.087,0.05,0.002,0.173,0.001,0.0,6219.0,3094.0,1.0
"inttitlepow[2, 2]",0.087,0.049,0.001,0.17,0.001,0.0,5329.0,2718.0,1.0
"inttitlepow[2, 3]",0.086,0.05,0.0,0.171,0.001,0.0,5325.0,2677.0,1.0
"inttitlepow[2, 4]",0.087,0.05,0.0,0.17,0.001,0.0,5241.0,2774.0,1.0
"inttitlepow[3, 0]",0.044,0.02,0.007,0.082,0.0,0.0,4570.0,1721.0,1.0
"inttitlepow[3, 1]",0.015,0.011,0.0,0.034,0.0,0.0,6759.0,3316.0,1.0
"inttitlepow[3, 2]",0.016,0.011,0.0,0.036,0.0,0.0,6230.0,3572.0,1.0
"inttitlepow[3, 3]",0.015,0.011,0.0,0.033,0.0,0.0,5568.0,2789.0,1.0
"inttitlepow[3, 4]",0.015,0.011,0.0,0.034,0.0,0.0,6490.0,2625.0,1.0
"inttitlepow[4, 0]",0.031,0.018,0.0,0.063,0.0,0.0,6268.0,3100.0,1.0
"inttitlepow[4, 1]",0.043,0.019,0.009,0.077,0.0,0.0,6316.0,2567.0,1.0
"inttitlepow[4, 2]",0.03,0.016,0.0,0.057,0.0,0.0,5133.0,2008.0,1.0
"inttitlepow[4, 3]",0.032,0.016,0.003,0.061,0.0,0.0,6636.0,2839.0,1.0
"inttitlepow[4, 4]",0.026,0.014,0.001,0.05,0.0,0.0,7267.0,2792.0,1.0
"inttitlepow[5, 0]",0.0,0.0,0.0,0.001,0.0,0.0,7938.0,4076.0,1.0
"inttitlepow[5, 1]",0.19,0.031,0.13,0.247,0.0,0.0,9638.0,5782.0,1.0
"inttitlepow[5, 2]",0.186,0.03,0.133,0.245,0.0,0.0,8540.0,4855.0,1.0
"inttitlepow[5, 3]",0.14,0.026,0.093,0.19,0.0,0.0,9820.0,4472.0,1.0
"inttitlepow[5, 4]",0.126,0.025,0.081,0.175,0.0,0.0,8850.0,4333.0,1.0
"inttitlepow[6, 0]",0.087,0.049,0.0,0.169,0.001,0.0,4889.0,2429.0,1.0
"inttitlepow[6, 1]",0.086,0.05,0.001,0.172,0.001,0.0,5432.0,2858.0,1.0
"inttitlepow[6, 2]",0.087,0.05,0.001,0.169,0.001,0.0,5038.0,2297.0,1.0
"inttitlepow[6, 3]",0.087,0.05,0.0,0.169,0.001,0.0,5398.0,2582.0,1.0
"inttitlepow[6, 4]",0.086,0.05,0.0,0.17,0.001,0.0,4511.0,2134.0,1.0
"inttitlepow[7, 0]",0.0,0.0,0.0,0.001,0.0,0.0,10395.0,4303.0,1.0
"inttitlepow[7, 1]",0.144,0.024,0.1,0.19,0.0,0.0,10817.0,5930.0,1.0
"inttitlepow[7, 2]",0.127,0.022,0.086,0.17,0.0,0.0,12233.0,5137.0,1.0
"inttitlepow[7, 3]",0.105,0.02,0.068,0.144,0.0,0.0,12773.0,5375.0,1.0
"inttitlepow[7, 4]",0.103,0.02,0.066,0.142,0.0,0.0,11932.0,5617.0,1.0
"inttitlepow[8, 0]",0.0,0.0,0.0,0.001,0.0,0.0,8864.0,4018.0,1.0
"inttitlepow[8, 1]",0.155,0.025,0.108,0.201,0.0,0.0,11431.0,4997.0,1.0
"inttitlepow[8, 2]",0.124,0.022,0.084,0.165,0.0,0.0,11191.0,5073.0,1.0
"inttitlepow[8, 3]",0.11,0.02,0.072,0.148,0.0,0.0,11018.0,5654.0,1.0
"inttitlepow[8, 4]",0.106,0.02,0.068,0.145,0.0,0.0,12092.0,5112.0,1.0
"inttitlepow[9, 0]",0.087,0.049,0.002,0.17,0.001,0.0,5273.0,3444.0,1.0
