,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"inttitlepow[0, 0]",0.056,0.008,0.042,0.071,0.0,0.0,415.0,1478.0,1.01
"inttitlepow[0, 1]",0.063,0.008,0.048,0.077,0.0,0.0,321.0,1276.0,1.01
"inttitlepow[0, 2]",0.058,0.007,0.046,0.071,0.0,0.0,321.0,1159.0,1.01
"inttitlepow[0, 3]",0.08,0.009,0.064,0.096,0.001,0.0,274.0,1139.0,1.01
"inttitlepow[0, 4]",0.134,0.013,0.111,0.159,0.001,0.001,208.0,595.0,1.02
"inttitlepow[0, 5]",0.152,0.015,0.125,0.179,0.001,0.001,193.0,539.0,1.02
"inttitlepow[0, 6]",0.163,0.015,0.135,0.192,0.001,0.001,191.0,663.0,1.02
"inttitlepow[0, 7]",0.184,0.017,0.153,0.217,0.001,0.001,179.0,403.0,1.02
"inttitlepow[0, 8]",0.192,0.018,0.161,0.227,0.001,0.001,167.0,433.0,1.02
"inttitlepow[0, 9]",0.201,0.018,0.167,0.235,0.001,0.001,177.0,455.0,1.02
"inttitlepow[0, 10]",0.225,0.02,0.187,0.263,0.002,0.001,162.0,466.0,1.02
"inttitlepow[0, 11]",0.304,0.027,0.255,0.354,0.002,0.001,163.0,460.0,1.02
"inttitlepow[0, 12]",0.306,0.027,0.257,0.355,0.002,0.002,151.0,493.0,1.02
"inttitlepow[0, 13]",0.297,0.026,0.248,0.345,0.002,0.001,162.0,464.0,1.02
"inttitlepow[0, 14]",0.293,0.026,0.245,0.34,0.002,0.001,156.0,456.0,1.02
"inttitlepow[0, 15]",0.311,0.027,0.26,0.362,0.002,0.001,167.0,443.0,1.02
"inttitlepow[0, 16]",0.351,0.03,0.296,0.407,0.002,0.002,152.0,503.0,1.02
"inttitlepow[0, 17]",0.369,0.031,0.31,0.428,0.002,0.002,159.0,458.0,1.02
"inttitlepow[1, 0]",0.159,0.02,0.122,0.198,0.001,0.001,284.0,1041.0,1.02
"inttitlepow[1, 1]",0.172,0.02,0.136,0.209,0.001,0.001,273.0,969.0,1.02
"inttitlepow[1, 2]",0.169,0.018,0.137,0.203,0.001,0.001,215.0,928.0,1.02
"inttitlepow[1, 3]",0.228,0.023,0.186,0.269,0.002,0.001,166.0,658.0,1.03
"inttitlepow[1, 4]",0.241,0.024,0.198,0.286,0.002,0.001,165.0,636.0,1.02
"inttitlepow[1, 5]",0.23,0.022,0.191,0.275,0.002,0.001,166.0,618.0,1.02
"inttitlepow[1, 6]",0.237,0.023,0.196,0.281,0.002,0.001,168.0,563.0,1.02
"inttitlepow[1, 7]",0.239,0.023,0.196,0.282,0.002,0.001,135.0,561.0,1.03
"inttitlepow[1, 8]",0.236,0.023,0.193,0.278,0.002,0.001,155.0,581.0,1.03
"inttitlepow[1, 9]",0.269,0.026,0.221,0.316,0.002,0.002,147.0,541.0,1.03
"inttitlepow[1, 10]",0.341,0.032,0.285,0.405,0.003,0.002,136.0,505.0,1.03
"inttitlepow[1, 11]",0.341,0.032,0.282,0.402,0.003,0.002,135.0,505.0,1.03
"inttitlepow[1, 12]",0.333,0.031,0.279,0.396,0.003,0.002,135.0,523.0,1.03
"inttitlepow[1, 13]",0.321,0.03,0.266,0.38,0.002,0.002,145.0,458.0,1.03
"inttitlepow[1, 14]",0.328,0.031,0.273,0.387,0.003,0.002,149.0,498.0,1.03
"inttitlepow[1, 15]",0.371,0.034,0.308,0.436,0.003,0.002,133.0,479.0,1.03
"inttitlepow[1, 16]",0.356,0.033,0.295,0.419,0.003,0.002,137.0,523.0,1.03
"inttitlepow[1, 17]",0.261,0.074,0.121,0.398,0.002,0.001,1903.0,2876.0,1.0
"inttitlepow[2, 0]",0.262,0.074,0.118,0.399,0.002,0.001,1687.0,2381.0,1.01
"inttitlepow[2, 1]",0.262,0.075,0.124,0.405,0.002,0.002,1241.0,2548.0,1.01
"inttitlepow[2, 2]",0.261,0.074,0.118,0.396,0.002,0.001,1863.0,3694.0,1.01
"inttitlepow[2, 3]",0.262,0.073,0.126,0.4,0.002,0.001,1885.0,3193.0,1.0
"inttitlepow[2, 4]",0.26,0.072,0.119,0.391,0.002,0.001,1966.0,2995.0,1.0
"inttitlepow[2, 5]",0.261,0.074,0.115,0.393,0.002,0.001,2104.0,3528.0,1.0
"inttitlepow[2, 6]",0.263,0.072,0.12,0.393,0.002,0.001,1995.0,3231.0,1.0
"inttitlepow[2, 7]",0.261,0.072,0.134,0.406,0.002,0.001,2123.0,3356.0,1.0
"inttitlepow[2, 8]",0.262,0.073,0.126,0.397,0.002,0.001,2125.0,3138.0,1.0
"inttitlepow[2, 9]",0.261,0.073,0.125,0.397,0.002,0.001,1807.0,3021.0,1.0
"inttitlepow[2, 10]",0.262,0.072,0.125,0.399,0.002,0.001,1873.0,3679.0,1.0
"inttitlepow[2, 11]",0.26,0.073,0.129,0.401,0.002,0.001,2129.0,3156.0,1.0
"inttitlepow[2, 12]",0.26,0.075,0.125,0.405,0.002,0.001,1961.0,2581.0,1.0
"inttitlepow[2, 13]",0.26,0.074,0.125,0.402,0.002,0.001,2004.0,3502.0,1.0
"inttitlepow[2, 14]",0.261,0.073,0.12,0.395,0.002,0.001,2110.0,3253.0,1.0
"inttitlepow[2, 15]",0.261,0.075,0.117,0.401,0.002,0.001,2056.0,3236.0,1.0
"inttitlepow[2, 16]",0.262,0.074,0.127,0.405,0.002,0.001,1767.0,2184.0,1.0
"inttitlepow[2, 17]",0.26,0.074,0.122,0.397,0.002,0.001,1543.0,2860.0,1.0
"inttitlepow[3, 0]",0.196,0.026,0.149,0.249,0.001,0.001,395.0,1663.0,1.02
"inttitlepow[3, 1]",0.182,0.024,0.139,0.229,0.001,0.001,353.0,1570.0,1.02
"inttitlepow[3, 2]",0.237,0.03,0.181,0.292,0.002,0.001,317.0,1210.0,1.02
