,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"maincharpower[0, 0]",0.174,0.1,0.057,0.29,0.05,0.038,5.0,14.0,2.24
"maincharpower[0, 1]",0.179,0.092,0.064,0.29,0.046,0.035,5.0,25.0,2.11
"maincharpower[0, 2]",0.178,0.102,0.053,0.305,0.051,0.039,5.0,22.0,2.48
"maincharpower[0, 3]",0.122,0.039,0.066,0.179,0.019,0.015,5.0,21.0,2.73
"maincharpower[0, 4]",0.189,0.089,0.068,0.288,0.044,0.034,5.0,22.0,3.02
"maincharpower[1, 0]",0.18,0.073,0.077,0.289,0.036,0.028,5.0,21.0,2.83
"maincharpower[1, 1]",0.189,0.116,0.046,0.401,0.058,0.044,5.0,11.0,2.72
"maincharpower[1, 2]",0.16,0.088,0.066,0.303,0.044,0.033,5.0,15.0,2.91
"maincharpower[1, 3]",0.185,0.107,0.04,0.367,0.053,0.04,4.0,15.0,3.41
"maincharpower[1, 4]",0.15,0.065,0.051,0.265,0.032,0.024,4.0,12.0,3.29
"maincharpower[2, 0]",0.214,0.126,0.046,0.373,0.062,0.047,5.0,20.0,2.55
"maincharpower[2, 1]",0.176,0.078,0.055,0.259,0.039,0.03,5.0,11.0,2.54
"maincharpower[2, 2]",0.161,0.108,0.04,0.35,0.054,0.041,4.0,11.0,3.55
"maincharpower[2, 3]",0.182,0.093,0.056,0.288,0.046,0.035,4.0,11.0,3.19
"maincharpower[2, 4]",0.165,0.087,0.065,0.27,0.043,0.033,6.0,25.0,1.94
"maincharpower[3, 0]",0.159,0.057,0.063,0.231,0.028,0.022,5.0,16.0,2.97
"maincharpower[3, 1]",0.12,0.07,0.05,0.235,0.035,0.027,5.0,11.0,2.94
"maincharpower[3, 2]",0.164,0.065,0.063,0.26,0.032,0.025,4.0,13.0,3.18
"maincharpower[3, 3]",0.153,0.042,0.076,0.212,0.021,0.016,4.0,15.0,3.26
"maincharpower[3, 4]",0.197,0.075,0.075,0.307,0.037,0.029,4.0,11.0,3.38
"maincharpower[4, 0]",0.153,0.063,0.068,0.256,0.031,0.024,5.0,17.0,2.97
"maincharpower[4, 1]",0.191,0.083,0.062,0.302,0.041,0.032,5.0,24.0,2.98
"maincharpower[4, 2]",0.165,0.104,0.047,0.287,0.052,0.039,5.0,11.0,2.7
"maincharpower[4, 3]",0.153,0.077,0.065,0.248,0.038,0.029,5.0,15.0,2.62
"maincharpower[4, 4]",0.205,0.087,0.054,0.321,0.043,0.033,4.0,20.0,3.23
