,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"maincharpower[0, 0]",0.22,0.169,0.005,0.51,0.013,0.009,130.0,208.0,1.04
"maincharpower[0, 1]",0.219,0.17,0.004,0.513,0.013,0.009,128.0,267.0,1.04
"maincharpower[0, 2]",0.22,0.168,0.006,0.525,0.013,0.009,128.0,240.0,1.04
"maincharpower[0, 3]",0.219,0.167,0.008,0.516,0.013,0.009,126.0,220.0,1.04
"maincharpower[0, 4]",0.221,0.167,0.008,0.519,0.013,0.009,125.0,224.0,1.04
"maincharpower[1, 0]",0.224,0.171,0.006,0.531,0.013,0.009,124.0,184.0,1.04
"maincharpower[1, 1]",0.22,0.168,0.004,0.511,0.013,0.009,128.0,235.0,1.04
"maincharpower[1, 2]",0.219,0.169,0.003,0.513,0.013,0.009,131.0,258.0,1.04
"maincharpower[1, 3]",0.219,0.165,0.002,0.511,0.013,0.009,118.0,210.0,1.04
"maincharpower[1, 4]",0.22,0.167,0.005,0.526,0.013,0.009,126.0,224.0,1.04
"maincharpower[2, 0]",0.221,0.17,0.008,0.516,0.013,0.009,125.0,228.0,1.04
"maincharpower[2, 1]",0.234,0.188,0.003,0.55,0.014,0.01,123.0,195.0,1.04
"maincharpower[2, 2]",0.227,0.178,0.003,0.531,0.014,0.01,126.0,232.0,1.04
"maincharpower[2, 3]",0.22,0.168,0.003,0.518,0.013,0.009,127.0,246.0,1.04
"maincharpower[2, 4]",0.22,0.168,0.007,0.517,0.013,0.009,127.0,228.0,1.04
"maincharpower[3, 0]",0.221,0.17,0.01,0.523,0.013,0.009,131.0,231.0,1.04
"maincharpower[3, 1]",0.221,0.169,0.004,0.528,0.013,0.009,126.0,231.0,1.04
"maincharpower[3, 2]",0.22,0.172,0.002,0.511,0.013,0.009,137.0,247.0,1.03
"maincharpower[3, 3]",0.219,0.168,0.0,0.508,0.013,0.009,131.0,241.0,1.04
"maincharpower[3, 4]",0.221,0.172,0.005,0.52,0.013,0.009,128.0,250.0,1.04
"maincharpower[4, 0]",0.221,0.167,0.008,0.519,0.013,0.009,125.0,230.0,1.04
"maincharpower[4, 1]",0.222,0.169,0.004,0.52,0.013,0.009,127.0,232.0,1.04
"maincharpower[4, 2]",0.22,0.165,0.008,0.505,0.013,0.009,126.0,236.0,1.04
"maincharpower[4, 3]",0.215,0.16,0.006,0.5,0.012,0.009,127.0,218.0,1.04
"maincharpower[4, 4]",0.219,0.166,0.008,0.513,0.013,0.009,126.0,207.0,1.04
"maincharpower[5, 0]",0.222,0.169,0.002,0.52,0.013,0.009,128.0,255.0,1.04
"maincharpower[5, 1]",0.217,0.164,0.006,0.502,0.012,0.009,133.0,253.0,1.03
"maincharpower[5, 2]",0.22,0.167,0.008,0.518,0.013,0.009,126.0,235.0,1.04
"maincharpower[5, 3]",0.219,0.167,0.005,0.507,0.013,0.009,126.0,217.0,1.04
"maincharpower[5, 4]",0.214,0.162,0.003,0.493,0.012,0.009,131.0,275.0,1.04
"maincharpower[6, 0]",0.222,0.171,0.005,0.518,0.013,0.009,119.0,194.0,1.04
"maincharpower[6, 1]",0.219,0.171,0.0,0.515,0.013,0.009,132.0,257.0,1.04
"maincharpower[6, 2]",0.217,0.163,0.005,0.509,0.012,0.009,129.0,222.0,1.04
"maincharpower[6, 3]",0.219,0.166,0.008,0.511,0.013,0.009,127.0,259.0,1.04
"maincharpower[6, 4]",0.222,0.172,0.008,0.524,0.013,0.009,129.0,217.0,1.04
"maincharpower[7, 0]",0.217,0.166,0.004,0.509,0.013,0.009,129.0,253.0,1.03
"maincharpower[7, 1]",0.219,0.17,0.002,0.525,0.013,0.009,132.0,245.0,1.03
"maincharpower[7, 2]",0.218,0.164,0.005,0.506,0.013,0.009,127.0,245.0,1.04
"maincharpower[7, 3]",0.215,0.16,0.003,0.5,0.012,0.009,127.0,244.0,1.04
"maincharpower[7, 4]",0.218,0.168,0.003,0.509,0.013,0.009,130.0,255.0,1.03
"maincharpower[8, 0]",0.218,0.164,0.005,0.505,0.013,0.009,128.0,220.0,1.04
"maincharpower[8, 1]",0.218,0.163,0.005,0.498,0.013,0.009,124.0,239.0,1.04
"maincharpower[8, 2]",0.221,0.169,0.003,0.513,0.013,0.009,127.0,203.0,1.03
"maincharpower[8, 3]",0.219,0.165,0.004,0.511,0.013,0.009,130.0,266.0,1.03
"maincharpower[8, 4]",0.214,0.159,0.0,0.497,0.012,0.009,129.0,242.0,1.03
"maincharpower[9, 0]",0.221,0.169,0.006,0.522,0.013,0.009,127.0,232.0,1.04
"maincharpower[9, 1]",0.219,0.165,0.009,0.514,0.013,0.009,124.0,209.0,1.04
"maincharpower[9, 2]",0.218,0.167,0.003,0.508,0.013,0.009,125.0,200.0,1.04
"maincharpower[9, 3]",0.221,0.17,0.005,0.519,0.013,0.009,123.0,226.0,1.04
"maincharpower[9, 4]",0.219,0.167,0.006,0.516,0.013,0.009,125.0,235.0,1.04
"maincharpower[10, 0]",0.22,0.168,0.005,0.52,0.013,0.009,128.0,266.0,1.03
"maincharpower[10, 1]",0.222,0.169,0.0,0.526,0.013,0.009,124.0,199.0,1.04
"maincharpower[10, 2]",0.218,0.165,0.006,0.509,0.013,0.009,126.0,246.0,1.04
"maincharpower[10, 3]",0.221,0.17,0.006,0.522,0.013,0.009,124.0,203.0,1.04
"maincharpower[10, 4]",0.22,0.17,0.007,0.522,0.013,0.009,127.0,239.0,1.04
"maincharpower[11, 0]",0.22,0.17,0.006,0.516,0.013,0.009,128.0,229.0,1.03
"maincharpower[11, 1]",0.22,0.169,0.005,0.516,0.013,0.009,129.0,226.0,1.04
"maincharpower[11, 2]",0.22,0.168,0.005,0.516,0.013,0.009,127.0,258.0,1.04
"maincharpower[11, 3]",0.221,0.17,0.005,0.532,0.013,0.009,130.0,213.0,1.03
