,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"maincharpower[0, 0]",0.448,0.374,0.013,1.055,0.017,0.012,486.0,912.0,1.02
"maincharpower[0, 1]",0.456,0.388,0.011,1.088,0.021,0.015,452.0,558.0,1.02
"maincharpower[0, 2]",0.45,0.367,0.013,1.057,0.017,0.012,486.0,641.0,1.02
"maincharpower[0, 3]",0.457,0.387,0.009,1.084,0.021,0.015,437.0,475.0,1.02
"maincharpower[0, 4]",0.456,0.379,0.013,1.088,0.02,0.014,446.0,486.0,1.02
"maincharpower[1, 0]",0.476,0.419,0.01,1.144,0.02,0.014,440.0,793.0,1.02
"maincharpower[1, 1]",0.459,0.385,0.014,1.097,0.021,0.015,439.0,500.0,1.02
"maincharpower[1, 2]",0.452,0.369,0.014,1.077,0.018,0.012,476.0,941.0,1.02
"maincharpower[1, 3]",0.453,0.37,0.013,1.069,0.018,0.013,447.0,562.0,1.02
"maincharpower[1, 4]",0.451,0.376,0.017,1.062,0.018,0.013,459.0,766.0,1.02
"maincharpower[2, 0]",0.452,0.365,0.012,1.056,0.017,0.012,487.0,936.0,1.02
"maincharpower[2, 1]",0.549,0.603,0.012,1.403,0.034,0.024,396.0,363.0,1.01
"maincharpower[2, 2]",0.5,0.479,0.012,1.239,0.027,0.019,390.0,399.0,1.02
"maincharpower[2, 3]",0.45,0.37,0.003,1.074,0.018,0.013,473.0,553.0,1.02
"maincharpower[2, 4]",0.456,0.395,0.011,1.074,0.021,0.015,459.0,508.0,1.02
"maincharpower[3, 0]",0.458,0.388,0.007,1.097,0.021,0.015,418.0,446.0,1.02
"maincharpower[3, 1]",0.45,0.369,0.014,1.054,0.017,0.012,475.0,1089.0,1.02
"maincharpower[3, 2]",0.464,0.392,0.007,1.109,0.022,0.015,422.0,467.0,1.02
"maincharpower[3, 3]",0.459,0.381,0.012,1.099,0.019,0.013,462.0,595.0,1.02
"maincharpower[3, 4]",0.45,0.374,0.014,1.077,0.018,0.013,490.0,548.0,1.02
"maincharpower[4, 0]",0.443,0.344,0.014,1.052,0.017,0.012,468.0,494.0,1.02
"maincharpower[4, 1]",0.45,0.366,0.01,1.062,0.018,0.013,467.0,574.0,1.02
"maincharpower[4, 2]",0.45,0.372,0.009,1.079,0.017,0.012,483.0,614.0,1.02
"maincharpower[4, 3]",0.422,0.313,0.014,0.979,0.015,0.01,506.0,745.0,1.02
"maincharpower[4, 4]",0.443,0.345,0.009,1.028,0.015,0.011,480.0,1039.0,1.02
"maincharpower[5, 0]",0.459,0.39,0.009,1.087,0.02,0.014,456.0,542.0,1.02
"maincharpower[5, 1]",0.434,0.334,0.012,1.002,0.015,0.011,507.0,1077.0,1.02
"maincharpower[5, 2]",0.439,0.35,0.009,1.019,0.015,0.011,516.0,1235.0,1.02
"maincharpower[5, 3]",0.454,0.382,0.009,1.072,0.021,0.015,450.0,509.0,1.02
"maincharpower[5, 4]",0.418,0.306,0.014,0.974,0.014,0.01,494.0,721.0,1.02
"maincharpower[6, 0]",0.454,0.38,0.009,1.084,0.018,0.013,450.0,625.0,1.02
"maincharpower[6, 1]",0.454,0.374,0.011,1.072,0.018,0.013,470.0,602.0,1.02
"maincharpower[6, 2]",0.433,0.332,0.009,1.011,0.015,0.011,502.0,986.0,1.02
"maincharpower[6, 3]",0.435,0.34,0.011,1.016,0.015,0.011,508.0,1110.0,1.02
"maincharpower[6, 4]",0.456,0.382,0.013,1.078,0.021,0.015,446.0,548.0,1.02
"maincharpower[7, 0]",0.434,0.331,0.016,1.013,0.015,0.011,489.0,1038.0,1.02
"maincharpower[7, 1]",0.452,0.372,0.017,1.083,0.018,0.013,466.0,900.0,1.02
"maincharpower[7, 2]",0.449,0.363,0.015,1.06,0.02,0.014,451.0,500.0,1.02
"maincharpower[7, 3]",0.43,0.332,0.007,0.997,0.018,0.013,459.0,517.0,1.02
"maincharpower[7, 4]",0.442,0.349,0.013,1.036,0.017,0.012,470.0,556.0,1.02
"maincharpower[8, 0]",0.432,0.342,0.0,1.0,0.014,0.01,553.0,1315.0,1.02
"maincharpower[8, 1]",0.442,0.349,0.009,1.027,0.017,0.012,462.0,640.0,1.02
"maincharpower[8, 2]",0.454,0.38,0.008,1.083,0.019,0.014,455.0,521.0,1.02
"maincharpower[8, 3]",0.437,0.347,0.016,1.034,0.015,0.011,503.0,1062.0,1.02
"maincharpower[8, 4]",0.43,0.33,0.015,0.998,0.016,0.011,478.0,654.0,1.02
"maincharpower[9, 0]",0.45,0.37,0.012,1.07,0.018,0.012,467.0,629.0,1.02
"maincharpower[9, 1]",0.453,0.374,0.01,1.072,0.019,0.013,468.0,568.0,1.02
"maincharpower[9, 2]",0.454,0.373,0.012,1.086,0.019,0.013,474.0,536.0,1.02
"maincharpower[9, 3]",0.454,0.371,0.013,1.085,0.018,0.013,444.0,459.0,1.02
"maincharpower[9, 4]",0.455,0.375,0.015,1.072,0.017,0.012,492.0,988.0,1.02
"maincharpower[10, 0]",0.452,0.366,0.013,1.084,0.018,0.013,455.0,512.0,1.01
