,名前,12,13,14,15,16,17,18
0,東方紅魔郷,15488.0,12935.0,10166.0,8183.0,11403.0,13956,20928
1,東方永夜抄,13877.0,11702.0,9558.0,7478.0,9964.0,11720,14238
2,東方妖々夢,12445.0,10450.0,8374.0,6470.0,8646.0,10125,12690
3,東方風神録,10970.0,9183.0,7337.0,5845.0,8241.0,9343,11766
4,東方地霊殿,9459.0,7610.0,6034.0,4923.0,6736.0,7290,9158
5,東方紺珠伝,8074.0,6871.0,5961.0,4664.0,6371.0,6680,7177
6,東方鈴奈庵,6033.0,5352.0,4506.0,3048.0,3154.0,2830,3029
7,東方輝針城,5552.0,4531.0,3584.0,2739.0,3189.0,3077,2985
8,東方星蓮船,5217.0,4119.0,3153.0,2429.0,3170.0,3338,3574
9,東方非想天則,4635.0,3711.0,2961.0,2003.0,2482.0,2266,2354
10,東方深秘録,4187.0,3603.0,2031.0,1192.0,1190.0,1078,1216
11,東方神霊廟,3976.0,3134.0,2518.0,2007.0,2798.0,3234,3472
12,東方茨歌仙,3745.0,3320.0,2585.0,2060.0,2924.0,2972,3602
13,東方花映塚,3436.0,2727.0,2122.0,1776.0,2106.0,2563,3301
14,東方緋想天,2654.0,2102.0,1751.0,1231.0,1433.0,1633,1881
15,弾幕アマノジャク,2437.0,1797.0,1466.0,934.0,976.0,1092,1147
16,東方儚月抄,2098.0,1551.0,1225.0,989.0,1223.0,1293,1719
17,東方心綺楼,1996.0,1405.0,940.0,637.0,801.0,882,958
18,東方三月精,1959.0,1490.0,1296.0,1231.0,1227.0,1153,1269
19,東方求聞史紀 / 東方求聞口授,1923.0,1331.0,1016.0,797.0,923.0,855,982
20,東方香霖堂,1877.0,1377.0,1057.0,761.0,934.0,893,812
21,大空魔術,1621.0,1368.0,1273.0,1013.0,1346.0,1073,1185
22,東方文花帖,1474.0,1226.0,870.0,717.0,802.0,914,955
23,ダブルスポイラー,1416.0,1218.0,923.0,638.0,708.0,667,680
24,蓬莱人形,1281.0,1162.0,1084.0,991.0,1318.0,1293,1534
25,妖精大戦争,1277.0,1125.0,856.0,687.0,772.0,912,942
26,東方幻想郷,1091.0,969.0,819.0,685.0,1143.0,1909,2657
27,東方怪綺談,1020.0,835.0,744.0,646.0,819.0,931,1143
28,東方萃夢想,1009.0,811.0,635.0,488.0,733.0,750,994
29,蓮台野夜行,855.0,640.0,509.0,467.0,558.0,575,616
30,東方夢時空,787.0,631.0,514.0,475.0,656.0,809,961
31,卯酉東海道,771.0,636.0,567.0,521.0,693.0,651,831
32,The Grimoire of Marisa,613.0,506.0,417.0,317.0,344.0,357,458
33,夢違科学世紀,578.0,473.0,404.0,375.0,523.0,466,503
34,東方靈異伝,562.0,482.0,439.0,452.0,628.0,972,1339
35,伊弉諾物質,522.0,387.0,345.0,281.0,381.0,412,388
36,鳥船遺跡,447.0,306.0,272.0,205.0,311.0,304,313
37,東方文花帖（書籍）,407.0,342.0,226.0,201.0,176.0,231,264
38,幺樂団の歴史,262.0,223.0,177.0,167.0,229.0,217,251
39,東方封魔録,250.0,251.0,260.0,213.0,371.0,629,852
40,未知の花　魅知の旅,194.0,172.0,167.0,235.0,253.0,240,214
41,燕石博物誌,,655.0,477.0,402.0,452.0,370,384
42,旧約酒場,,503.0,322.0,229.0,283.0,301,298
43,東方天空璋,,,3496.0,2422.0,2430.0,2220,2355
44,東方憑依華,,,3268.0,2266.0,2265.0,2349,2950
45,東方文果真報,,,608.0,331.0,262.0,248,294
46,秘封ナイトメアダイアリー,,,,670.0,455.0,499,452
47,東方鬼形獣,,,,,3746.0,3566,3679
48,東方酔蝶華,,,,,737.0,1297,1410
49,東方智霊奇伝 反則探偵さとり,,,,,651.0,823,1343
50,The Grimoire of Usami 秘封倶楽部異界撮影記録,,,,,462.0,521,482
51,東方剛欲異聞,,,,,158.0,406,1576
52,東方Project人妖名鑑 宵闇編,,,,,126.0,278,152
53,東方虹龍洞,,,,,,5000,4476
54,バレットフィリア達の闇市場,,,,,,,1715
55,東方Project人妖名鑑 常世編,,,,,,,116
56,虹色のセプテントリオン,,,,,,,107
