,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,10回目ポイント,5回目ポイント,9回目ポイント,4回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,11回目ポイント,8回目ポイント,6回目ポイント,1回目ポイント
0,博麗 霊夢,15427.0,8913.0,10674.0,6887.0,11404.0,,15679.0,16497.0,,8574.0,7314.0,3927.0,9583.0,1245.0,1391.0,293（203）,7731.0,7332.0,8175.0,5739.0,62.0
1,霧雨 魔理沙,10969.0,8626.0,8990.0,5950.0,11816.0,,16578.0,17612.0,,7386.0,6495.0,3867.0,8028.0,1301.0,2284.0,532（398）,6766.0,7227.0,6750.0,5380.0,95.0
2,古明地 こいし,10913.0,8865.0,8874.0,5579.0,10683.0,,13150.0,14150.0,,7238.0,6063.0,,5852.0,,,,3283.0,7859.0,4827.0,1446.0,
3,十六夜 咲夜,10195.0,7853.0,8282.0,5119.0,10015.0,,13787.0,13173.0,,6529.0,5848.0,3154.0,8635.0,1165.0,1746.0,564（372）,6763.0,6241.0,7246.0,5433.0,95.0
4,フランドール・スカーレット,9844.0,8497.0,8202.0,5222.0,10335.0,,16723.0,16343.0,,6497.0,5488.0,2497.0,7824.0,465.0,486.0,93（85）,5365.0,5972.0,5961.0,3654.0,32.0
5,魂魄 妖夢,9669.0,9841.0,8495.0,5801.0,12951.0,,15323.0,13751.0,,6936.0,4896.0,2169.0,7032.0,877.0,1802.0,254（198）,4510.0,5443.0,5201.0,3277.0,
6,レミリア・スカーレット,9091.0,8294.0,7533.0,5453.0,9482.0,,12981.0,12575.0,,6304.0,5089.0,3083.0,8205.0,688.0,843.0,162（138）,6747.0,5327.0,6920.0,4945.0,28.0
7,古明地 さとり,8821.0,6090.0,6847.0,4305.0,6305.0,,7600.0,8629.0,,5371.0,4883.0,,6925.0,,,,5471.0,5124.0,6113.0,3591.0,
8,アリス・マーガトロイド,7834.0,4749.0,6563.0,3908.0,5608.0,,6909.0,6774.0,,5148.0,5383.0,2574.0,9265.0,919.0,759.0,184（145）,6238.0,4945.0,6373.0,4065.0,27.0
9,射命丸 文,7625.0,5289.0,6476.0,3937.0,5799.0,,6607.0,6429.0,,4978.0,4638.0,3774.0,7016.0,886.0,,,4076.0,4640.0,5620.0,3738.0,
10,藤原 妹紅,7534.0,5657.0,6298.0,3823.0,6589.0,,8728.0,8748.0,,5144.0,3934.0,2544.0,6129.0,367.0,609.0,,5441.0,5290.0,5349.0,4162.0,
11,東風谷 早苗,6189.0,4737.0,5092.0,3289.0,5261.0,,6185.0,6535.0,,4306.0,4573.0,2135.0,6880.0,,,,7221.0,4157.0,6466.0,5315.0,
12,比那名居 天子,5760.0,3765.0,4538.0,3266.0,4679.0,,5200.0,5139.0,,4671.0,3468.0,,4758.0,,,,3557.0,3656.0,3947.0,2603.0,
13,稀神 サグメ,5665.0,2118.0,3674.0,1856.0,2543.0,,3268.0,2920.0,,2577.0,,,,,,,,,,,
14,秦 こころ,5641.0,3719.0,4469.0,2725.0,4363.0,,4966.0,4660.0,,3646.0,3633.0,,,,,,,3561.0,,,
15,西行寺 幽々子,5570.0,4541.0,4609.0,3062.0,5955.0,,6960.0,7224.0,,3642.0,3718.0,2973.0,6093.0,1092.0,1502.0,141（111）,5274.0,3549.0,5293.0,3973.0,
