,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,21回目ポイント,14回目ポイント
0,紅魔郷,15488.0,11403.0,12935.0,8183.0,13956.0,19883,20928.0,19883,10166.0
1,永夜抄,13877.0,9964.0,11702.0,7478.0,11720.0,16336,14238.0,16336,9558.0
2,妖々夢,12445.0,8646.0,10450.0,6470.0,10125.0,12641,12690.0,12641,8374.0
3,風神録,10970.0,8241.0,9183.0,5845.0,9343.0,11541,11766.0,11541,7337.0
4,地霊殿,9459.0,6736.0,7610.0,4923.0,7290.0,9899,9158.0,9899,6034.0
5,紺珠伝,8074.0,6371.0,6871.0,4664.0,6680.0,6675,7177.0,6675,5961.0
6,鈴奈庵,6033.0,3154.0,5352.0,3048.0,2830.0,2617,3029.0,2617,4506.0
7,輝針城,5552.0,3189.0,4531.0,2739.0,3077.0,2831,2985.0,2831,3584.0
8,星蓮船,5217.0,3170.0,4119.0,2429.0,3338.0,3684,3574.0,3684,3153.0
9,非想天則,4635.0,2482.0,3711.0,2003.0,2266.0,2904,2354.0,2904,2961.0
10,深秘録,4187.0,1190.0,3603.0,1192.0,1078.0,879,1216.0,879,2031.0
11,神霊廟,3976.0,2798.0,3134.0,2007.0,3234.0,3079,3472.0,3079,2518.0
12,茨歌仙,3745.0,2924.0,3320.0,2060.0,2972.0,2851,3602.0,2851,2585.0
13,花映塚,3436.0,2106.0,2727.0,1776.0,2563.0,3122,3301.0,3122,2122.0
14,緋想天,2654.0,1433.0,2102.0,1231.0,1633.0,1756,1881.0,1756,1751.0
15,弾幕アマノジャク,2437.0,976.0,1797.0,934.0,1092.0,1016,1147.0,1016,1466.0
16,儚月抄,2098.0,1223.0,1551.0,989.0,1293.0,1468,1719.0,1468,1225.0
17,心綺楼,1996.0,801.0,1405.0,637.0,882.0,917,958.0,917,940.0
18,三月精,1959.0,1227.0,1490.0,1231.0,1153.0,1456,1269.0,1456,1296.0
19,求聞史紀 / 東方求聞口授,1923.0,923.0,1331.0,797.0,855.0,946,982.0,946,1016.0
20,香霖堂,1877.0,934.0,1377.0,761.0,893.0,746,812.0,746,1057.0
21,大空魔術,1621.0,1346.0,1368.0,1013.0,1073.0,1350,1185.0,1350,1273.0
22,文花帖,1474.0,802.0,1226.0,717.0,914.0,940,955.0,940,870.0
23,文花帖,1474.0,802.0,1226.0,717.0,914.0,940,955.0,940,226.0
24,文花帖,1474.0,802.0,1226.0,717.0,914.0,940,955.0,279,870.0
25,文花帖,1474.0,802.0,1226.0,717.0,914.0,940,955.0,279,226.0
26,文花帖,1474.0,802.0,1226.0,717.0,914.0,940,264.0,940,870.0
27,文花帖,1474.0,802.0,1226.0,717.0,914.0,940,264.0,940,226.0
28,文花帖,1474.0,802.0,1226.0,717.0,914.0,940,264.0,279,870.0
29,文花帖,1474.0,802.0,1226.0,717.0,914.0,940,264.0,279,226.0
30,文花帖,1474.0,802.0,1226.0,717.0,914.0,279,955.0,940,870.0
31,文花帖,1474.0,802.0,1226.0,717.0,914.0,279,955.0,940,226.0
32,文花帖,1474.0,802.0,1226.0,717.0,914.0,279,955.0,279,870.0
33,文花帖,1474.0,802.0,1226.0,717.0,914.0,279,955.0,279,226.0
34,文花帖,1474.0,802.0,1226.0,717.0,914.0,279,264.0,940,870.0
35,文花帖,1474.0,802.0,1226.0,717.0,914.0,279,264.0,940,226.0
36,文花帖,1474.0,802.0,1226.0,717.0,914.0,279,264.0,279,870.0
37,文花帖,1474.0,802.0,1226.0,717.0,914.0,279,264.0,279,226.0
38,文花帖,1474.0,802.0,1226.0,717.0,231.0,940,955.0,940,870.0
39,文花帖,1474.0,802.0,1226.0,717.0,231.0,940,955.0,940,226.0
40,文花帖,1474.0,802.0,1226.0,717.0,231.0,940,955.0,279,870.0
41,文花帖,1474.0,802.0,1226.0,717.0,231.0,940,955.0,279,226.0
42,文花帖,1474.0,802.0,1226.0,717.0,231.0,940,264.0,940,870.0
43,文花帖,1474.0,802.0,1226.0,717.0,231.0,940,264.0,940,226.0
44,文花帖,1474.0,802.0,1226.0,717.0,231.0,940,264.0,279,870.0
45,文花帖,1474.0,802.0,1226.0,717.0,231.0,940,264.0,279,226.0
46,文花帖,1474.0,802.0,1226.0,717.0,231.0,279,955.0,940,870.0
47,文花帖,1474.0,802.0,1226.0,717.0,231.0,279,955.0,940,226.0
48,文花帖,1474.0,802.0,1226.0,717.0,231.0,279,955.0,279,870.0
49,文花帖,1474.0,802.0,1226.0,717.0,231.0,279,955.0,279,226.0
50,文花帖,1474.0,802.0,1226.0,717.0,231.0,279,264.0,940,870.0
51,文花帖,1474.0,802.0,1226.0,717.0,231.0,279,264.0,940,226.0
