,名前,12回目ポイント,16回目ポイント,10回目ポイント,5回目ポイント,13回目ポイント,15回目ポイント,9回目ポイント,4回目ポイント,17回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,20回目ポイント,11回目ポイント,18回目ポイント,8回目ポイント,6回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,1回目ポイント
0,53ミニッツの青い海,180.0,135.0,97.0,20.0,157.0,115.0,103.0,,203.0,,,57.0,351.0,112.0,206.0,80.0,46.0,274.0,351.0,142.0,
1,A Sacred Lot,27.0,47.0,8.0,4.0,35.0,27.0,7.0,,57.0,1.0,,9.0,77.0,8.0,65.0,8.0,10.0,67.0,77.0,31.0,
2,AN ORDEAL FROM GOD,58.0,65.0,59.0,,49.0,53.0,83.0,,45.0,,,68.0,75.0,47.0,66.0,76.0,,51.0,75.0,48.0,
3,Arcadian Dream,6.0,5.0,1.0,1.0,9.0,4.0,5.0,,5.0,,,1.0,12.0,0.0,7.0,6.0,,6.0,12.0,1.0,
4,Bad Apple!!,996.0,752.0,568.0,105.0,758.0,431.0,707.0,2.0,1400.0,1.0,,816.0,1833.0,437.0,1508.0,586.0,380.0,1365.0,1833.0,541.0,
5,Border Land,3.0,8.0,3.0,,5.0,3.0,6.0,,6.0,,,,3.0,0.0,7.0,4.0,,3.0,3.0,1.0,
6,Break the Sabbath,10.0,8.0,4.0,1.0,4.0,6.0,4.0,1.0,8.0,,,2.0,12.0,5.0,4.0,3.0,,19.0,12.0,6.0,
7,Castle Explorer -in the Sky-,20.0,26.0,8.0,3.0,13.0,14.0,10.0,,16.0,,,6.0,18.0,10.0,16.0,9.0,4.0,23.0,18.0,13.0,
8,Civilization of Magic,55.0,53.0,22.0,,51.0,50.0,27.0,,45.0,,,6.0,65.0,27.0,63.0,22.0,3.0,64.0,65.0,44.0,
9,Complete Darkness,182.0,203.0,115.0,46.0,197.0,125.0,181.0,7.0,222.0,4.0,5.0,160.0,449.0,96.0,290.0,198.0,115.0,293.0,449.0,150.0,2.0
10,Crescent Dream,26.0,30.0,8.0,,16.0,19.0,10.0,,21.0,,,10.0,28.0,15.0,22.0,7.0,1.0,33.0,28.0,11.0,
11,Days,2.0,2.0,1.0,,1.0,3.0,1.0,,2.0,,,,7.0,0.0,4.0,1.0,,3.0,7.0,4.0,
12,Demystify Feast,1355.0,835.0,747.0,701.0,1116.0,695.0,1210.0,203.0,766.0,,,1349.0,728.0,876.0,935.0,1156.0,958.0,820.0,728.0,898.0,
13,Dim. Dream,79.0,63.0,49.0,11.0,73.0,53.0,75.0,10.0,79.0,6.0,2.0,46.0,100.0,38.0,89.0,64.0,21.0,84.0,100.0,60.0,
14,Dream Express,52.0,45.0,36.0,8.0,53.0,45.0,50.0,13.0,40.0,17.0,7.0,49.0,46.0,32.0,32.0,53.0,39.0,29.0,46.0,52.0,3.0
